Nation,Sail_No,Helmsman,Crew,Club,Race 1,Race 2,Race 3,Race 4,Total,Place
GER,8702,Martin Dr. Handel,Felix Klöpfer,"SGK,SCE",48,51,-74,46,145,50
GER,8470,Robert Steinke,Frank Zschieschang,"YCW,YCW",46,41,-64,59,146,51
SWE,8787,Lars Bjerke,Tore Reinhold,"BKSS,BKSS",47,49,53,-63,149,52
FIN,7824,Erkka Ikonen,Juha Nurmela,"V-71,V-71",44,44,62,-71,150,53
FIN,8542,Henri Räty,Tommy Andersson,"N,SSÄ",DNS -182,42,77,34,153,54
GER,8418,Jan Sell,Wiebke Gewinn,"TuSF,SWE",35,60,-71,60,155,55
GER,8105,Karsten Contag,Christian Schönbach,"SCLW,HSC",59,47,57,-67,163,56
DEN,8416,Gabriel Schønau Hansen,Johnny Rodholm,"K S,HS",DNS -182,61,46,61,168,57
AUS,8550,Earle Alexander,Brett Boulton,"RQYS,S YC",55,59,54,DNC -182,168,58
RSA,8584,Hans Rogotzki,Peter Roos,"P SC,P SC",54,50,69,DNC -182,173,59
GER,8712,Siegfried Labenz,Christian Labenz,"SVWu,SVWu",RAF -182,40,81,57,178,60
GER,8619,Steve Kwee,Henrik Masekowitz,"HSC,ASV-HBG",58,58,-75,65,181,61
GER,8654,Nikolaus Jaegersberg,Wolfgang Hiltscher,"SCLW,SCLW",53,55,80,DSQ -182,188,62
GER,8560,Christiane Giefers,Jens Krause,"SVPB,SVPB",DNS -182,52,78,64,194,63
GER,8850,Stefan Koechlin,Axel Priegann,"SKF,SKF",DNC -182,DNC 182,2,12,196,64
GER,6816,Andreas Jungclaus,Bruno Laudage,"HSC,HSC",DNC -182,65,66,66,197,65
AUS,8840,Michael Quirke,Pip Pearson,,DNC -182,DNC 182,12,4,198,66
GER,8333,Torsten Trümper,Carsten Seeger,"SCS 78,SVGS",63,63,-90,81,207,67
GER,8388,Wolfram Peter,Stephan Ottenschläger,YCF,61,66,83,-84,210,68
GER,8437,Sebastian Schröder,Carl-Uwe Böttner,"WSV1921,WSV1921",66,62,-87,82,210,69
GBR,8887,Tom Clayton,Ross Davies,,67,67,-92,76,210,70
GER,8450,Juergen Feuerhake,Anne Nehrenberg,"YCSB,SCBO",60,DNF -182,84,68,212,71
GBR,8881,Terry Scutscher,Christian Diebitsch,"S SC,GW SC",DNC -182,DNC 182,21,14,217,72
GER,7584,Mark Felling,Eberhard Schockenhoff,"WSCKM,WSCKM",65,70,-96,85,220,73
GER,7900,Felix Heibeck,Axel Isler,"KSW,KSW",68,69,86,DNC -182,223,74
ITA,8097,Marco Giraldi,Andrea Greco,"UVM,LNI",62,DNC -182,88,80,230,75
SUI,8729,Florian Stauffeer,Philippe Jacot,"CVN,CVN",DNC -182,DNC 182,"27,5",21,"230,5",76
SUI,8569,Cédric Bart,René Betschen,"CNB,CNB",DNC -182,DNC 182,34,20,236,77
DEN,8826,Tom Bojland,Jakob Karbo,"FAS,FAS",26,34,DNC -182,DNC 182,242,78
GER,8686,Christian Niefert,Thomas Weber,"BSV'79,BSV'79",34,DNC -182,DNC 182,28,244,79
FIN,7922,Olle Martonen,Björn Pundars,"W SF,W SF",DNC -182,DNC 182,43,40,265,80
GER,8691,Günter Bökle,Frank Heimburger,"SSCM,SSCM",45,56,DNC -182,DNC 182,283,81
GER,8414,Stefan Worm,Wolfdietrich Pfeiffer,"SCR,SLRV",DNC -182,DNC 182,68,53,303,82
DEN,8440,Mikkel Christiansen,Mads Christiansen,"AS,AS",DNC -182,DNC 182,63,58,303,83
GBR,8365,Andreas Lehmann,Robert Hanke,"VSW,VSW",57,DNC -182,70,DNC 182,309,84
SUI,8727,John Bergquist,Andreas Kindlimann,"SSA,YC G",DNS -182,68,DNC 182,62,312,85
GER,6786,Hendrik Reinhardt,Axel Schult,"SVSF,SVSF",DNC -182,DNC 182,73,70,325,86
GER,7661,Christina Höll,Alexander Wilhelm,"HSC,HSC",DNC -182,DNC 182,76,73,331,87
GER,8392,Konrad Barop,Justus Rauno,"RSV,RSV",DNC -182,DNC 182,82,69,333,88
GER,8538,Lars Metzner,Enno Thaeter,"SVN,SVN",DNC -182,DNC 182,85,75,342,89
GER,8108,Thorge Holm,Rebecca Strahl,"BOH-YC,BOH-YC",DNS -182,DNC 182,89,72,343,90
GER,8370,Karsten Stuempel,Matthias Struck,"HSC,HSC",DNC -182,DNC 182,91,79,352,91
GER,8279,Olivier Koch,Markus Klos,"SCBO,YCSB",DNC -182,DNC 182,94,83,359,92
SWE,8389,Georg Mittermayer,Felix Mittermayer,"SÖSS,SÖSS",DNC -182,DNC 182,93,86,361,93
DEN,8849,Per Larsen,Hendrik Andresen,"FAS,FAS",DNC -182,DNC 182,DNC 182,11,375,94
GER,8720,Dirk Filimonow,Lars Stöckmann,"BSV,BSV",DNC -182,DNC 182,13,DNC 182,377,95
GER,8664,Franziska Unkelbach,Rolf Henny,"KYC,KYC",17,DNC -182,DNC 182,DNC 182,381,96
GER,8519,Robert Wisolek,Guido von Walter,"SCLW,SCLW",DNS -182,29,DNC 182,DNC 182,393,97
GER,8693,Michael Daisenberger,Florian Lautenschläger,"DTYC,DTYC",DNC -182,DNC 182,37,DNC 182,401,98
AUS,8855,Mark Stowell,Scott Baily,"RFBYC,RFBYC",DNS -182,43,DNC 182,DNC 182,407,99
GER,8609,Alexander Holzapfel,Diek Ipach,"PSVK,HSC",DNC -182,DNC 182,DNC 182,44,408,100
GER,8579,Peter Wackerbauer,Hans-Jürgen Rentelmann,"RSB,BSC",RAF -182,45,DNC 182,DNC 182,409,101
GER,8507,Benjamin Großkurth,Torsten Koch,"SCLW,HSC",RAF -182,53,DNC 182,DNC 182,417,102
RSA,8537,Steve Hegerstrom,Alan Franklin,"P.Y.C,P.Y.C",56,DNC -182,DNC 182,DNC 182,420,103
GER,8533,Roger Bussenius,Robert Bussenius,"SCOH,SCOH",DNC -182,DNC 182,59,DNC 182,423,104
GER,8562,Wolfgang Seifert,Jochen Heydolph,"SGR,SCLW",DNC -182,DNC 182,61,DNC 182,425,105
GER,7035,Michael Köritz,Harald Hundt,SVO,DNC -182,64,DNC 182,DNC 182,428,106
 ,8616,,,,64,DNC -182,DNC 182,DNC 182,428,107
GER,8806,Jan Forster,Daniel Wehden,"DJC,DJC",DNC -182,DNC 182,65,DNC 182,429,108
GER,8769,Nathalie Friedrich,Claudius Zeiler,"SCLW,SGR",DNC -182,DNC 182,67,DNC 182,431,109
SWE,8475,Axel Hampe,Jonas Nissen,"DTYC,DTYC",DNC -182,DNC 182,DNC 182,74,438,110
GER,8500,Lutz Kandzia,Rainer Lühr,ASV-HBG,DNC -182,DNC 182,DNC 182,77,441,111
GER,8530,Alexander von Mertens,Peter Wolffram,"BSV 07,YCF",DNC -182,DNC 182,DNC 182,78,442,112
GER,8798,Alexander Lampert,Kathrin Konrad-Schmolke,"WHW,BSV 07",DNC -182,DNC 182,79,DNC 182,443,113
GER,7048,Gesche Kohlberg,Anna Lang,"WVH,WVH",DNC -182,DNC 182,95,DNC 182,459,114
