Ctry,Sail_No,Helmsman/Crew,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Tot Pts,os
GER,8758,Jürgen Hatje,Ole Günther,"SYC,KYC",82,89,73,(DNC),(DNC),DNC,DNC,DNC,DNC,944,149
SWE,8389,Georg Mittermayer,Felix Mittermayer,"SÖSS,SÖSS",152,-159,127,122,149,141,137,124,(DNC),952,150
GER,7900,Felix Heibeck,Axel Isler,"KSW,KSW",(DSQ),160,138,110,129,156,155,(DNC),106,954,151
GER,5896,Ole Paulsen,Hannes Becker,"BSV,BSV",145,132,126,(DNC),148,162,132,122,(DNC),967,152
GER,8674,Nick Dose,Andreas Poppe,"KYC,KYC",150,157,141,(DNC),125,147,135,133,(DNC),988,153
GER,8546,Dirk Haensgen,Frank Rupprich,"SVPB,SVPB",142,145,120,95,154,158,(DNC),(DNC),DNC,989,154
GER,8333,Torsten Trümper,Carsten Seeger,"SCS 78,SVGS",134,(RAF),137,120,151,160,151,136,(DNC),989,155
GER,8450,Juergen Feuerhake,Anne Nehrenberg,"YCSB,SCBO",140,155,130,(DNF),144,138,142,(DNF),DNC,"1024,",156
GER,8108,Thorge Holm,Rebecca Strahl,"BOH-YC,BOH-YC",133,153,139,(DNF),143,157,144,(DNS),DNC,"1044,",157
GER,7048,Gesche Kohlberg,Anna Lang,"WVH,WVH",146,128,(DNC),(DNC),156,148,153,139,DNC,"1045,",158
GER,8579,Peter Wackerbauer,Hans-Jürgen Rentelmann,"RSB,BSC",122,144,(DNF),(DNC),155,145,143,DNC,DNC,"1059,",159
GER,8388,Wolffram Peter,Stephan Ottenschläger,"YCF,RCO",154,161,144,(DNC),141,146,150,(DNC),DNC,"1071,",160
GER,8335,Helmut Madeheim,Thomas Osterholz,"PBYC,PBYC",(DNF),146,131,(DNC),147,150,DNC,DNC,DNC,"1099,",161
GER,8697,Wilfried W. Stuis,Michael Denner,"YCF,RCO",139,138,(DNF),(DNC),159,159,154,DNF,DNC,"1099,",162
GER,7860,Detlef Bräuer,Andreas Wieland,,(DNF),151,(DNC),DNC,158,164,148,134,DNC,"1105,",163
GER,8279,Olivier Koch,Markus Klos,"SCBO,YCSB",(DNF),149,142,(DNF),153,161,152,DNF,DNC,"1107,",164
GER,8370,Karsten Stuempel,Enno Wilts,"HSC,HSC",(RAF),163,146,(DNF),150,163,141,DNF,DNC,"1113,",165
GER,8769,Nathalie Friedrich,Claudius Zeiler,"SCLW,SGR",95,147,(DNC),(DNC),DNC,DNC,DNC,DNC,DNC,"1117,",166
GER,7946,Martin Kehr,Ulrike Nehls,"BSC,BSC",(RAF),156,(DSQ),DNF,132,154,DNC,DNC,DNC,"1142,",167
GER,8437,Sebastian Schröder,Carl-Uwe Böttner,"WSV1921,WSV1921",(DNC),166,(DNC),DNC,157,155,DNC,DNC,DNC,"1178,",168
GER,8517,Tobias Kollmann,Henning Ries,"KYC,TSVS",156,165,(DNF),(DNC),DNF,DNC,DNC,DNC,DNC,"1196,",169
GER,7584,Mark Felling,Eberhard Schockenhoff,"WSCKM,WSCKM",153,(DNC),(DNC),DNC,DNC,DNC,DNC,DNC,DNC,"1203,",170
