Nation,SailNo,Helmname,Crewname,St,Raphael,Riva del Garda,Aarhus,"Europeans,Kiel",Total,Nett,Rank
GER,9011,Daisenberger Michael,Mertens Alexander,,(161.0 DNC),28,161.0 DNC,14,364,203,31
GER,8989,Jungclaus Andréas,Priegann Axel,,17,(161.0 DNC),161.0 DNC,27,366,205,32
GER,8721,Heyer Sophie,Salein Sebastian,,18,(161.0 DNC),161.0 DNC,30,370,209,33
FRA,8844,Broise Xavier,Des Jamonières Nicolas,,19,(161.0 DNC),161.0 DNC,32,373,212,34
GER,8874,Dasenbrook Norbert,Meier (Skbue) Sven,,(161.0 DNC),26,161.0 DNC,26,374,213,35
GER,8956,Forster Jan,Neuss Marcus,,14,(161.0 DNC),161.0 DNC,40,376,215,36
GER,8929,Waldheim Jürgen,Jung Thomas,,27,(161.0 DNC),161.0 DNC,44,393,232,37
GBR,8955,Lake Simon,Barry Alex,,38,34,(161.0 DNC),161.0 DNC,394,233,38
GER,8473,Kraft Olivier,Heimburger Frank,,36,42,(161.0 DNC),161.0 DNC,400,239,39
SUI,8727,Nydegger Lorenz,Nydegger Martin,,35,46,(161.0 DNC),161.0 DNC,403,242,40
ITA,8743,Giraldi Marco,Corbellini Paolo,,47,35,(161.0 DNC),161.0 DNC,404,243,41
GBR,8907,Berry Jim,Barnes David,,46,45,(161.0 DNC),161.0 DNC,413,252,42
GER,9000,Wilts Enno,Holm Thorge,,(161.0 DNC),161.0 DNC,19,74,415,254,43
GER,8579,Rentelmann Hans-Jürgen,Wackerbauer Peter,,(161.0 DNC),161.0 DNC,21,72,415,254,44
DEN,8551,Brice Russell,Andrewartha Tristan,,(161.0 DNC),161.0 DNC,16,78,416,255,45
FRA,8773,Markt Philippe,Conversy Gaël,,48,48,(161.0 DNC),161.0 DNC,418,257,46
GER,8500,Henge Christian,Fedde Matthias,,(161.0 DNC),161.0 DNC,20,79,421,260,47
FRA,8321,Nevo Laurent,Bouton Fabrice,,42,(161.0 DNC),161.0 DNC,58,422,261,48
GER,8049,Tellen Matthias,Lüther Moritz,,(161.0 DNC),161.0 DNC,23,81,426,265,49
GER,8513,Dömges Sven,Happich Andreas,,(161.0 DNC),37,161.0 DNC,70,429,268,50
GER,8933,Völckner Nicolai,Dietrich Eike,,(161.0 DNC),22,161.0 DNC,89,433,272,51
GER,6685,Killian Katja,Kühne Jens,,(161.0 DNC),161.0 DNC,24,99,445,284,52
BEL,8880,De Pauw Geert,Jourquin Koen,,(161.0 DNC),44,161.0 DNC,80,446,285,53
GER,8530,Von Mertens Alexander,Maal Martin,,63,(161.0 DNC),161.0 DNC,66,451,290,54
GER,8658,Höll Christina,Wilhelm Alexander,,(161.0 DNC),47,161.0 DNC,88,457,296,55
GER,8666,Kurzeja Michael,Jacoby Julius,,(161.0 DNC),50,161.0 DNC,91,463,302,56
GER,8999,Stümpel Karsten,Stümpel Ute,,65,(161.0 DNC),161.0 DNC,92,479,318,57
GER,8975,Morten Bogacki,Jess Holger,,1,(161.0 DNC),161.0 DNC,161.0 DNC,484,323,58
GER,8806,Stengel Lutz,Feller Frank,,(161.0 DNC),161.0 DNC,161.0 DNC,7,490,329,59
GBR,9006,Scutcher Terry,Diebitsch Christian,,(161.0 DNC),8,161.0 DNC,161.0 DNC,491,330,60
SUI,8954,Jacot Caroline,Jacot Philippe,,12,(161.0 DNC),161.0 DNC,161.0 DNC,495,334,61
GER,8927,Rix Hans-Heinrich,Achenbach Steffen,,(161.0 DNC),13,161.0 DNC,161.0 DNC,496,335,62
DEN,8826,Friis Anders,Bøjland Tom,,(161.0 DNC),161.0 DNC,14,161.0 DNC,497,336,63
DEN,8232,Christiansen Jonas,Kirchoff Laurids E.,,(161.0 DNC),161.0 DNC,15,161.0 DNC,498,337,64
SUI,8954,Stauffer Florian,Jacot Philippe,,(161.0 DNC),15,161.0 DNC,161.0 DNC,498,337,65
FRA,88,Pierre-Jean Gallo,Lafortune Geraud,,15,(161.0 DNC),161.0 DNC,161.0 DNC,498,337,66
GER,8966,Böhm Stefan,Roos Gerald,,(161.0 DNC),161.0 DNC,161.0 DNC,16,499,338,67
GBR,8694,Hart Matthew,Scutcher Terry,,16,(161.0 DNC),161.0 DNC,161.0 DNC,499,338,68
GER,8976,Gosch Tom,Meyer Rolf,,(161.0 DNC),161.0 DNC,161.0 DNC,18,501,340,69
GER,8915,Dr.Plattner Hasso,Alarie Peter,,(161.0 DNC),161.0 DNC,161.0 DNC,20,503,342,70
GBR,8963,Hodgson Martin,Miles Adrian,,(161.0 DNC),20,161.0 DNC,161.0 DNC,503,342,71
SUI,8613,Petermann Gilles,Grob Laurent,,20,(161.0 DNC),161.0 DNC,161.0 DNC,503,342,72
GER,8927,Plessmann Ulf,Rix Hans-Heinrich,,(161.0 DNC),161.0 DNC,161.0 DNC,21,504,343,73
DEN,9025,Larsen Per,Andersen Henrik,,(161.0 DNC),161.0 DNC,22,161.0 DNC,505,344,74
GER,8903,Stephan Schweiger,Koch Thorsten,,(161.0 DNC),23,161.0 DNC,161.0 DNC,506,345,75
FRA,8900,Gubri Serge,Thibault Di Pede,,24,(161.0 DNC),161.0 DNC,161.0 DNC,507,346,76
GER,8940,Kittsteiner Martin,Dr. Stieglitz Oliver,,(161.0 DNC),161.0 DNC,161.0 DNC,25,508,347,77
FRA,8400,Faucheux Florian,Croce Nicolas,,25,(161.0 DNC),161.0 DNC,161.0 DNC,508,347,78
FRA,8716,Martin Aline,Gougeon Matthieu,,26,(161.0 DNC),161.0 DNC,161.0 DNC,509,348,79
GER,8665,Schlonka Jens-Peter,Urs Wihlfahrt,,(161.0 DNC),27,161.0 DNC,161.0 DNC,510,349,80
FRA,8870,Silvestre Christian,Vallaud Christian,,28,(161.0 DNC),161.0 DNC,161.0 DNC,511,350,81
GER,651,De Pauw Geert,Jourquin Koen,,29,(161.0 DNC),161.0 DNC,161.0 DNC,512,351,82
GER,8519,Wisolek Robert,Berggren Johannes,,(161.0 DNC),30,161.0 DNC,161.0 DNC,513,352,83
GER,8825,Troch Michael,König Eckart,,(161.0 DNC),161.0 DNC,161.0 DNC,31,514,353,84
GER,8744,Kandzia Lutz,Deutscher Martin,,(161.0 DNC),31,161.0 DNC,161.0 DNC,514,353,85
FRA,8187,Le Duc Gabriel,Thibaud Cyril,,31,(161.0 DNC),161.0 DNC,161.0 DNC,514,353,86
SUI,8613,Gilles Petermann,Laurent Grob,,(161.0 DNC),32,161.0 DNC,161.0 DNC,515,354,87
FRA,8847,Jeanne Muriel,Agrapart Franck,,32,(161.0 DNC),161.0 DNC,161.0 DNC,515,354,88
GER,8750,Peters Gunter,Achenbach Steffen,,(161.0 DNC),161.0 DNC,161.0 DNC,33,516,355,89
FRA,8187,Gabriel Leduc,Cyril Thibaud,,(161.0 DNC),33,161.0 DNC,161.0 DNC,516,355,90
GER,8758,Meier-Kothe Christian,Raschdorf Ole,,(161.0 DNC),161.0 DNC,161.0 DNC,34,517,356,91
LUX,8934,Kieffer Pierre,Tousch Jean-Paul,,34,(161.0 DNC),161.0 DNC,161.0 DNC,517,356,92
GBR,8905,Turnbull Stuart,Lunn Jason,,(161.0 DNC),36,161.0 DNC,161.0 DNC,519,358,93
GER,8505,Duwe Florian,Helms Marc,,(161.0 DNC),161.0 DNC,161.0 DNC,37,520,359,94
SWE,8926,Rosen Ebbe,Wenrup Olle,,(161.0 DNC),161.0 DNC,161.0 DNC,38,521,360,95
FRA,8348,Ingrand Mathieu,Plathier Yann,,39,(161.0 DNC),161.0 DNC,161.0 DNC,522,361,96
POL,8130,Grabowski Jarek,Olko Michal,,(161.0 DNC),40,161.0 DNC,161.0 DNC,523,362,97
FRA,8826,Valleteau de Moulliac Benoit,Thery Guillaume,,40,(161.0 DNC),161.0 DNC,161.0 DNC,523,362,98
FRA,9010,Carvallo Gilles,Chauleau Jean-Yves,,(161.0 DNC),41,161.0 DNC,161.0 DNC,524,363,99
FRA,8402,Roucayrol Frederic,Bleuez Loic,,41,(161.0 DNC),161.0 DNC,161.0 DNC,524,363,100
GER,8720,Tasche Lennart,Tasche Frederik,,(161.0 DNC),161.0 DNC,161.0 DNC,42,525,364,101
GER,8843,Unkelbach Franziska,Dehne Lars,,(161.0 DNC),161.0 DNC,161.0 DNC,43,526,365,102
GER,8777,Greger Thoralf,Sanguino-Petersen Frisco,,(161.0 DNC),43,161.0 DNC,161.0 DNC,526,365,103
FRA,8752,Martin Nicolas,Lafortune Julien,,43,(161.0 DNC),161.0 DNC,161.0 DNC,526,365,104
FRA,8508,Plouviet Aurelie,Jungmann Jean-Marc,,44,(161.0 DNC),161.0 DNC,161.0 DNC,527,366,105
GER,8608,Rasenack Bernd,Lehning Hannes,,(161.0 DNC),161.0 DNC,161.0 DNC,45,528,367,106
GER,8327,Frank Dirk,Kempf Stefan,,45,(161.0 DNC),161.0 DNC,161.0 DNC,528,367,107
GER,8563,Schmidt Stefan,Heeschen Klaus,,(161.0 DNC),161.0 DNC,161.0 DNC,46,529,368,108
IRL,8514,Scannell Peter,O'sullivan Pal,,(161.0 DNC),161.0 DNC,161.0 DNC,47,530,369,109
GER,8656,Reincke Kurt,Hehl Carsten,,(161.0 DNC),161.0 DNC,161.0 DNC,48,531,370,110
GBR,8745,Mcgale Patrick,Von Gray Paul,,(161.0 DNC),49,161.0 DNC,161.0 DNC,532,371,111
FRA,8449,Bernard Peiffert,Didier Peiffert,,49,(161.0 DNC),161.0 DNC,161.0 DNC,532,371,112
SUI,8077,Houriet Catherine,Donze Gil,,50,(161.0 DNC),161.0 DNC,161.0 DNC,533,372,113
GER,8777,Schollmayer Stefan,Sanguino-Petersen Frisco,,(161.0 DNC),161.0 DNC,161.0 DNC,51,534,373,114
FRA,8486,Viaud Pascal,Lapeyre Bertrand,,51,(161.0 DNC),161.0 DNC,161.0 DNC,534,373,115
FRA,8948,Guillou Nicolas,Got Guillaume,,(161.0 DNC),161.0 DNC,161.0 DNC,52,535,374,116
ITA,8882,Tosello Alain,Loce Roberto,,52,(161.0 DNC),161.0 DNC,161.0 DNC,535,374,117
GBR,9013,Owen Tudor,Winchester Toby,,(161.0 DNC),161.0 DNC,161.0 DNC,53,536,375,118
FRA,7941,Brenet Veronique,Peter Jean-Pierre,,53,(161.0 DNC),161.0 DNC,161.0 DNC,536,375,119
GER,8483,Kohlhoff-Horstmann Melanie,Wegner Christine,,(161.0 DNC),161.0 DNC,161.0 DNC,54,537,376,120
FRA,4664,David Denis,Dubruel Denis,,54,(161.0 DNC),161.0 DNC,161.0 DNC,537,376,121
FRA,6245,Banahan Lawrence,Claustres Nicolas,,55,(161.0 DNC),161.0 DNC,161.0 DNC,538,377,122
GER,8317,Friederichs Hartwig,Gosch Antje,,(161.0 DNC),161.0 DNC,161.0 DNC,56,539,378,123
FRA,8515,Niddam Yves,Gresle Thierry,,56,(161.0 DNC),161.0 DNC,161.0 DNC,539,378,124
GER,8657,Neulen Georg,Schürmann Oliver,,(161.0 DNC),161.0 DNC,161.0 DNC,57,540,379,125
FRA,8980,Boiry Michel,Gastaud Jean Philippe,,57,(161.0 DNC),161.0 DNC,161.0 DNC,540,379,126
GER,8562,Seifert Wolfgang,Heydolph Jochen,,(161.0 DNC),161.0 DNC,161.0 DNC,59,542,381,127
FRA,8270,Gachet Claude,Valery Kleber,,59,(161.0 DNC),161.0 DNC,161.0 DNC,542,381,128
GER,8619,Kwee Steve,Spötter Thorsten,,(161.0 DNC),161.0 DNC,161.0 DNC,60,543,382,129
GER,8424,Lehr Claus-Michael,Schaal-Lehr Christine,,60,(161.0 DNC),161.0 DNC,161.0 DNC,543,382,130
GER,8550,Hauschild Martha,Heyder Michael,,(161.0 DNC),161.0 DNC,161.0 DNC,61,544,383,131
GER,8772,Tanner Julia,Tanner Lukas,,(161.0 DNC),161.0 DNC,161.0 DNC,62,545,384,132
FRA,8353,Verplanken Eric,Louis Gibert,,62,(161.0 DNC),161.0 DNC,161.0 DNC,545,384,133
FIN,7784,Held Thomas,Vennonen Timo,,(161.0 DNC),161.0 DNC,161.0 DNC,63,546,385,134
GER,8741,Anton Jürgen,Denecke Ulf,,(161.0 DNC),161.0 DNC,161.0 DNC,64,547,386,135
FRA,8623,Rouanne Dominique,Laurent Virginie,,64,(161.0 DNC),161.0 DNC,161.0 DNC,547,386,136
FRA,8008,Dewaele Vincent,Dewaele Kevin,,66,(161.0 DNC),161.0 DNC,161.0 DNC,549,388,137
GER,8669,Brüggemann Benedikt,Mayrshofer Maximilian,,(161.0 DNC),161.0 DNC,161.0 DNC,67,550,389,138
GER,8991,Michael Köritz,Sjuts Horst,,(161.0 DNC),161.0 DNC,161.0 DNC,68,551,390,139
SWE,8787,Bjerke Lars,Reinhold Tore,,(161.0 DNC),161.0 DNC,161.0 DNC,69,552,391,140
GER,8533,Bussenius Roger,Bussenius Robert,,(161.0 DNC),161.0 DNC,161.0 DNC,71,554,393,141
SWE,8837,Lawner Tord,Wangdahl Douglas,,(161.0 DNC),161.0 DNC,161.0 DNC,73,556,395,142
GER,8365,Lehmann Andreas,Hanke Robert,,(161.0 DNC),161.0 DNC,161.0 DNC,75,558,397,143
FRA,8270,Valery Kleber,Auberger Nicolas,,(161.0 DNC),161.0 DNC,161.0 DNC,76,559,398,144
GER,8664,Melzwig Nicholas,Melzwig Michaela,,(161.0 DNC),161.0 DNC,161.0 DNC,77,560,399,145
GER,8437,Steffen Henning,Appel Robert,,(161.0 DNC),161.0 DNC,161.0 DNC,82,565,404,146
GER,6767,Hintz Markus,Christiansen John,,(161.0 DNC),161.0 DNC,161.0 DNC,83,566,405,147
CRO,7801,Slobodan Velikic,Nikola Fabijanic,,(161.0 DNC),161.0 DNC,161.0 DNC,84,567,406,148
GER,6817,Schneidewind Ralf,Laudage Bruno,,(161.0 DNC),161.0 DNC,161.0 DNC,85,568,407,149
GER,8634,Dülsen Steffen,Haaland Gerrit,,(161.0 DNC),161.0 DNC,161.0 DNC,86,569,408,150
GER,8388,Wolffram Peter,Ottenschläger Stephan,,(161.0 DNC),161.0 DNC,161.0 DNC,87,570,409,151
GER,8385,Bernauer Martin,Brandt Robert,,(161.0 DNC),161.0 DNC,161.0 DNC,90,573,412,152
GER,8730,Feldmann Iris,Hartmann Birgit,,(161.0 DNC),161.0 DNC,161.0 DNC,93,576,415,153
GER,8428,Lempp Christian,Rauner Max,,(161.0 DNC),161.0 DNC,161.0 DNC,94,577,416,154
GER,7443,Brix Florian,Köthe Henry,,(161.0 DNC),161.0 DNC,161.0 DNC,95,578,417,155
GER,8572,Lutz Peter,Weissbach Jana,,(161.0 DNC),161.0 DNC,161.0 DNC,96,579,418,156
GER,8675,Müllejans Christian,Morf Karsten,,(161.0 DNC),161.0 DNC,161.0 DNC,97,580,419,157
GER,8392,Barop Konrad,Matthias Himmel,,(161.0 DNC),161.0 DNC,161.0 DNC,98,581,420,158
GER,8052,Feuerhake Jürgen,Nehrenberg Anne,,(161.0 DNC),161.0 DNC,161.0 DNC,100,583,422,159
GER,8324,Lang Anna,Kohlberg Gesche,,(161.0 DNC),161.0 DNC,161.0 DNC,101,584,423,160
