Boot,Steuermann,Vorschoter,,Club,R1,R2,R3,R4,R5,R6,R7,R8,Punkte,Platzierungen
GER,8579,Hans-Jürgen Rentelmann,Peter Wackerbauer,BSC,60,81,60,74,69,51,DNC 102,DNC 102,395,72
SWE,8837,Tord Lawner,Douglas Wangdal,GKSS,89*,76,81*,81,76,55,67,63,418,73
GER,9000,Enno Wilts,Thorge Holm,SVBB,81*,70,65,70,56,DNF 102*,81,77,419,74
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,75,74,76*,71,73,DNF 102*,62,74,429,75
FRA,8270,Kleber Valery,Nicolas Auberger,YCG,86*,78,83,72,74,59,79,DNC 102*,445,76
GER,8664,Nicholas Melzwig,Michaela Melzwig,LRV,80,93,DNC 102*,61,60,DNC 102*,78,76,448,77
DEN,8551,Russell Brice,Lasse Andrewartha,,71,59,53,66,DNC 102*,DNC 102*,DNC 102,DNC 102,453,78
GER,8500,Christian Henge,Matthias Fedde,OSG,96*,96,75,77,67,DNC 102*,73,69,457,79
BEL,8880,Geert De Pauw,Koen Jourquin,NWVN,DNF 102*,53,69,62,70,DNC 102*,DNC 102,DNC 102,458,80
GER,8049,Matthias Tellen,Moritz Lüther,RSC,92,91,77,80,72,60,DNC 102*,DNC 102*,472,81
GER,8437,Steffen Henning,Robert Appel,HSC,78,92*,DNC 102*,85,80,66,83,82,474,82
GER,6767,Markus Hintz,John Christiansen,HSC,87,94*,84,88*,77,63,86,80,477,83
CRO,7801,Slobodan Velikic,Nicola Fabijanic,,90*,86,78,84,DNC 102*,64,84,84,480,84
GER,6817,Ralf Schneidewind,Bruno Laudage,KSC,67,66,DNC 102*,DNC 102*,DNC 102,DNC 102,77,73,487,85
GER,8634,Steffen Dülsen,Gerrit Haaland,VSW,94,82,80,79,DNC 102,DNC 102,75,83,493,86
GER,8388,Peter Wolffram,Stephan Ottenschläger,,83,90,73,78,DNF 102*,DNC 102*,68,DNC 102,494,87
GER,8658,Christina Höll,Alexander Wilhelm,HSC,76,71,DNC 102*,DNC 102*,DNC 102,DNC 102,76,75,502,88
GER,8730,Iris Anton,Birgit Hartmann,HSC,79,89,42,69,DNC 102*,DNC 102*,DNC 102,DNC 102,483,89
GER,8933,Nicolai Völckner,Eike Dietrich,HSC,84,87,DNC 102*,DNC 102*,DNC 102,DNC 102,66,67,508,90
GER,8385,Martin Bernauer,Robert Brand,CNFT,95,97,DNC 102*,89,DNC 102*,65,87,81,514,91
GER,8666,Michael Kurzeja,Julius Jacoby,BYC,85,73,85,86,DNC 102*,DNC 102*,85,DNC 102,516,92
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,79,77,82,82,DNC 102,DNC 102,DNC 102,DNC 102,320,93
GER,8282,Christian Lempp,Max Rauner,HSC,93,85,DNC 102*,87,78,DNC 102*,DNC 102,DNC 102,547,94
GER,7443,Florian Brix,Henry Köthe,HSC,DNC 102*,DNC 102*,79,83,79,DNC 102,DNC 102,DNC 102,547,95
GER,8572,Peter Lutz,Jana Weißbach,YCM,91,95,DNC 102*,DNC 102*,DNC 102,DNC 102,82,79,551,96
GER,8675,Christian Müllejans,Karsten Morf,SVWu,73,84,DNC 102*,DNC 102*,DNC 102,DNC 102,DNC 102,DNC 102,565,97
GER,8392,Konrad Barop,Matthias Himmel,RSV,82,83,DNC 102*,DNC 102*,DNC 102,DNC 102,DNC 102,DNC 102,573,98
GER,6685,Katja Kilian,Jens Kühne,OSG,97,99,DNC 102*,DNC 102*,DNC 102,DNC 102,88,85,573,99
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,YCSb,88,98,DNC 102*,DNC 102*,DNC 102,DNC 102,DNC 102,DNC 102,594,100
