Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Netto,Place
FRA,5500,Michon,Pascal,08 °ASSAULT EL,56,42,43,47,38,256,194,47
FRA,6178,Niverd,Niverd,06 VIRY-CHATIL,50,15,69,61,47,262,195,48
FRA,6622,Mehl,Christian Gindre,15 LAC CHALAIN,33,52,52,44,42,253,195,49
FRA,6671,Schvab,Briffoteaux,19 Y.C. OER,44,50,45,33,NP,276,196,50
FRA,6863,Juillard-Condat,Juillard-Condat,22 MARCILLAC,6,54,57,57,NP,278,198,51
FRA,5559,Rimbert,Laugerotte,19 Y.C• DER,53,37,44,42,NP,280,200,52
FRA,6409,Hamet,Hamet,21 Y.C. BROU,38,51,41,51,NP,285,205,53
FRA,5151,Dohamel,Caivaux,07 HAVRE VIE,45,60,39,53,45,272,206,54
FRA,6210,Saint-Cyr,Gouillon,14 CY GO LARGE,NP,27,50,56,49,286,206,55
FRA,5792,Bouvier,Jacquot,19 Y.C. DER,51,53,40,41,NP,289,209,56
FRA,6405,Colin,Colin,14 CYVG LYON,NP,40,49,54,49,290,210,57
FRA,5225,Michon,Vialle,20 CHRYSLER FR,55,39,53,58,NP,309,229,58
FRA,5683,Greneche,Carpentier,20 VERNEUIL,54,57,60,55,46,302,236,59
FRA,5865,Dewagenaere,Dewagenaere,20 VERNCU1L,31,59,55,NP,NP,323,243,60
FRA,5975,Collaert,,,AB,48,56,50,NP,332,252,61
FRA,5405,Mallein,Guillet,07 BAULE POUL.,60,64,62,60,46,324,254,62
FRA,5827,Pascal,Gerard,03 DASSAULT EL,58,63,61,NP,51,337,257,63
FRA,5033,Polet,Lafolie,20 C.V. PARIS,AB,58,NP,59,50,345,265,64
FRA,4390,Le Soudeer,J. C. Bréard,07 ANCRE-CHAP.,NP,55,NP,40,AB,347,267,65
FRA,5262,Barbier,Garreau,16 ASPTT DIJON,59,65,NP,NP,NP,376,296,66
FRA,6241,Nicot,Nicot,06 S.N.P.P.,51,NP,NP,NP,NP,383,303,67
GER,6617,Volker,,,AB,NP,NP,NP,NP,400,320,TBD
SUI,5528,Kuhne,Kuhne,S.K.S.,NP,NP,NP,NP,NP,400,320,TBD
FRA,5197,Rocheteau,Goujon,08 DASSAULT et.,NP,NP,NP,NP,NP,400,320,TBD
FRA,5464,Yvon Kergreis,Aussenard,07 BAULE MA.,NP,NP,NP,NP,NP,400,320,TBD
FRA,6222,Paquotte,Guthmann,17 C.N. RHIN,NP,NP,NP,NP,NP,400,320,TBD
FRA,6539,Thompson,Woodhead,ST LEONAROS,NP,NP,NP,NP,NP,400,320,TBD
FRA,6814,Chemin,Drouot,19 YC OER,NP,NP,NP,NP,NP,400,320,TBD
