Nation,Båtnr,Rorsman,Gast,Klubb,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,SUM,#
GBR,8384,D. Smithwhite,C. Merrett,FPSC,44,26,15,18,34,28,151,25
FIN,7935,K. Lautanen,J. Niemi,FIN,42,33,23,30,29,7,152,26
SUI,8016,C. Stolz,P. Jacot,CNB,38,9,34,22,45,19,152,27
GBR,8269,P. Towers,White,DWSC,6,16,49,43,33,40,166,28
DEN,7902,Anders Friss,Sune Sissgaard,SKE,18,32,18,31,44,38,187,29
GER,8330,Tim Böger,Klaus Stammerjohann,HSC,64,21,25,33,30,30,169,30
SWE,8033,Per Oskarsson,Lars Edström,St.505,24,14,7,54,43,DNF,172,31
SWE,8335,Niklas Beckvid,Bengt Sareyko,KSSS,56,40,36,26,6,37,174.7,32
DEN,8325,J. Bojsen Moller,J. Jespersen,HSK,20,46,14,DNF,32,34,175,33
GER,8333,A. Thomsen,P. Schultz,RYE,32,13,28,38,40,52,181,34
DEN,8056,Mikkel Storgaard,Anders Frimodt-Møller,,29,34,81,23,42,26,184,35
DEN,8030,Tom Bøjland,M. Jacobsen,HSK,31,46,13,63,51,15,188,36
FIN,8180,H. Eklund,J. Lindens,FIN,15,D8Q,37,44,37,32,196,37
GBR,8021,Robert Napier,K. Summersoill,FFSC,8,58,39,35,49,36,197,38
FRA,8363,F. Doernbecher,I. Doerenbecher,CYM,41,39,41,25,41,22,198,39
FIN,7824,J. Aavisto,T. Lipas,.1V8,37,31,22,47,68,45,212,40
GBR,7565,M. Morley,C. Kingston,DOSS,63,49,40,32,22,50,223,41
GER,8320,J-P Schlomka,N. Schlomka,T8Y8,40,61,DSQ,21,36,42,229,42
SWE,7655,Joakim Pettersson,Bengt Zachrisson,GKSS,59,30,52,39,25,DNF,235,43
SWE,7145,Erik Kallin,Lars Lexell,HKK,10,42,38,56,62,62,238,44
GBR,8245,David Peacock,N. Vooght,Owsc,45,63,64,40,31,31,240,45
FRA,8063,Marcel Buffet,L. Marc,CDLV,52,48,44,46,56,29,249,46
DEN,8094,L. Bujvad,S. Storm,AYC,DSQ,56,48,27,39,51,251,47
GER,8334,F. Sothmann,M. Barth,WSCW,13,65,DSQ,34,53,60,255,48
FIN,8053,P. Ebeling,E. Aho,FIN,DSQ,43,55,36,38,54,256,49
GER,8386,J. Ellermann,I. Tschentscher,WYC,46,41,51,48,60,44,259,50
GER,8370,K. Mares,J. Mares,808,53,DSQ,33,DNS,26,36,261,51
FRA,7831,E. Petit,R. Lefevre,CDVII,33,47,58,49,55,48,262,52
GER,6611,F. Weichel,H. Hoffmeister,NBC,36,35,43,DNF,61,57,262,53
SWE,7453,Peter Andersson,Per-Eric Thörnström,SSVÄ,60,37,45,59,52,43,266,54
GER,8365,Hauke Rathjens,Frank Uhlemann,KYC,55,38,59,41,54,55,273,55
DEN,7998,Jens Hartwig,Wolfgang Stückl,TSC,61,36,62,51,67,41,276,56
SWE,8146,Kent Högberg,Gerry Högberg,GKSS,43,52,46,58,60,63,289,57
SWE,8222,Claes Boman,Pelle Norberg,BrSS,49,50,57,50,46,59,291,58
SUI,7960,R. Betschen,U. Marti,cms,51,50,DSQ,66,58,47,291,59
FRA,8353,R. Fossard,L. Garito,SRC,50,67,66,57,48,49,291,60
GER,8375,H. Friedenrichs,G. Meckenstock,XYC,47,67,63,42,66,56,294,61
GER,7957,J. Hinnen,J. Wilke,BCN,14,51,63,69,DNF,70,297,62
GER,8317,A. Kluck,G. Schmidt,T8v9,58,62,78,61,27,64,309,63
GER,8121,D. Cordes,U. Wihlfahrt,8C4,DNS,53,47,52,DNF,53,319,64
BEL,7979,P. Gorremans,B. Haberland,VVW,65,44,56,65,83,DNF,323,65
DEN,8071,M. Elmer,P. Schroder,,48,21,64,42,DNF,DNC,325,66
GER,8286,M. Bullinger,S. Bullinger,HSC,62,72,65,60,DSQ,48,335,67
SWE,8228,Gunilla Berg,Thomas Jönsson,HKK,57,62,60,62,67,66,337,68
SWE,7833,Magnus Groth,Yngve Gustafsson,KSSS,68,54,DSQ,45,DNS,65,346,69
GER,8236,H-A Noeldekr,R. Kerner,8V8,70,55,68,66,71,66,347,70
SWE,8116,Patrik Erlandsson,Johan Stenqvist,KMS,48,59,71,68,DNC,73,349,71
FIN,7699,J. Ruohongn,T. Lindstrom,PIN,54,DNF,54,DNS,47,DNF,353,72
FIN,7784,T. Laiho,M. Laiho,NVR,69,DSQ,50,63,DSQ,61,357,73
FIN,8022,T. Enkell,M. Wolontis,PIN,75,73,72,64,59,88,966,74
FIN,7802,S. Jokinen,M. Porvari,PIN,71,68,67,70,65,67,967,75
FIN,8136,J. Neovius,A. Sparv,wsr,67,66,70,71,DNF,71,376,76
SWE,7591,Björn Svending,Ola Svending,MSS,73,70,69,73,64,74,379,77
DEN,8256,B. Sorgard,C. Barlebo,PSK,66,71,75,67,DNF,DNF,393,78
FIN,7657,G. Antila,J. Antila,NSP,72,74,73,78,72,78,393,79
SWE,7455,Magnus Reichard,J. Bergström,HJS,DNS,75,77,74,69,75,400,80
SWE,7542,Ludvig Moberg,Jakob Lindvall,KSSS,77,77,74,76,DNF,69,403,81
FIN,7581,Mikael Nylund,Jan Ekman,NSF,78,76,78,DNS,70,72,404,82
SWE,7482,Anders Hofgren,Bengt Kjellin,HjBK,76,78,79,75,73,77,409,83
