No Sail no,,,,,,,,,,,,,,Scores
GER 8720,Lennart Tasche,Frederik Tasche,,21,15,27,20,22,21,15,dnc,25,166,21
GER 8928,Stephan Schweiger,Thorsten Koch,,37,16,22,26,23,23,19,23,35*,173.7,22
GER 8990,Frieder Achterberg,Wolfgang Stueckl,,33,27,25,34,26,22,11,9,21,174,23
GER 9113,Helen Fischer,Robert Rothe,,24,19,38,16,24,41,22,24,22,189,24
GER 8975,Alexander Holzapfel,Pascal Viaude,,17,35,16,28,25,25,32,30,30,203,25
GBR 9002,Peter Bennett,Tyler Harmsworth,,14,23,39,17,30,34,27,26,33,204,26
RSA 8719,Alex Ham,Warwick Ham,,29,55,23,21,7,31,23,dnf,20,209,27
GER 8807,Maximilian Weiß,Jonas Vogt,,1,3,47,62,28,29,47,28,31,214,28
FRA 9099,Cedric Bart,Alain Karajian,,45,37,10,19,39,42,21,22,24,214,29
DEN 8827,Anders Friis,Jan Möller,,31,18,42,33,51,20,37,16,23,220,30
SUI 8613,Ueli Marti,Res Schürch,,41,22,32,30,37,11,25,27,dnc,225,31
GER 9040,Nørbert Dasenbrook,Meier (SKBUe),,55,54,20,45,41,13,36,17,27,253,32
FIN 8873,Sampsa Hyysalo,Lauri Kääpä,,43,57,30,29,48,32,20,20,40,262,33
GER 9101,Stefan Giesler,Frank Böhm,,27,60,28,48,21,33,24,dnf,29,270,34
GER 9020,Jörn Wille,Martin Bergmann,,25,44,45,35,60,28,31,21,42,271,35
SWE 8912,Tom Hastenpflug,Toni Hastenpflug,,39,29,40,25,36,36,28,dnf,44,277,36
AUS 9028,Earle Alexander,Arne Lanatowitz,,42,43,51,27,29,49,38,dnc,18,297,37
GBR 9085,Matt Hart,Daniel Hart,,16,13,29,24,20,18,dnf,dnc,dnc,300,38
POL 8665,Bartosz Makała,Łukasz Skrzycki,,8,65,65,49,45,45,39,31,39,321,39
SUI 8961,Toni Utiger,Markus Heilig,,65,51,34,47,59,38,40,35,32,336,40
FIN 8768,Jukka Nieminen,Antti Salonen,,12,28,36,39,65,39,dnf,dnc,37,346,41
ITA 8916,Ciferri Enrico,Natali Gabriele,,7,31,26,44,31,35,dnf,dnc,dnc,354,42
GER 8972,Ronald Roos,Morten Roos,,28,69,35,18,38,50,dnf,dnc,26,354,43
GER 8903,Steve Kwee,Thorsten Spötter,,73,50,50,37,44,60,35,34,45,355,44
FIN 8466,Hannu Pöyry,Juha Pietilä,,74,41,41,55,34,52,49,38,46,356,45
FRA 8677,Nicolas Michel,Laurent Michel,,56,71,37,60,63,43,33,29,38,359,46
FRA 8820,Thibault di Pede,Fabrice Toupet,,47,46,53,46,42,51,44,37,dnf,366,47
GER 9043,Nicola Birkner,Angela Stenger,,6,5,59,42,49,40,dnf,dnc,dnc,381,48
GER 87,Jürgen Anton,Sebastian Munch,,68,79,48,43,56,19,43,dnf,36,392,49
SWE 8651,Peter Andersson,Per-Eric Thörnström,,54,36,52,58,58,58,30,dnc,48,394,50
DEN 8828,Michael van Wonterghem,Fabiola van Wonterghem,,57,56,54,69,62,53,46,33,47,408,51
GER 8874,Henning Steffen,Tilman Giesen,,36,66,55,38,55,67,dnf,43,52,412,52
GER 9029,Jürgen Waldheim,Thomas Jung,,48,49,33,32,35,37,dnf,dnc,dnf,414,53
GER 8437,Davina Schlesiger,Marvin Schlesiger,,30,76,63,77,54,61,50,32,51,417,54
FRA 9068,François de Lisle,Herve Brillaud,,52,48,57,63,40,69,51,41,dnf,421,55
GER 8519,Thure Gnadeberg,Aron Tellen,,66,42,46,67,66,47,52,42,dnc,428,56
SWE 8787,Lars Bjerke,Tore Reinhold,,63,24,56,56,43,57,45,dnc,dnf,434,57
GER 8550,Martha Hauschild,Michael Heyder,,8,61,47,68,52,53,dnf*,dnc*,dnc*,437,58
GBR 8955,Ben Iliffe,Simon Lake,,75,67,66,73,46,65,34,dnc,13,439,59
SUI 9060,Catherine Houriet,Gil Donzé,,59,64,61,41,68,59,54,dnc,54,460,60
GER 8730,Iris Anton,Bruno Laudage,,62,52,72,59,52,75,48,dnc,49,469,61
GER 9111,Andreas Jungclaus,Matthias Dachs,,49,58,44,61,32,46,dnc,dnc,dnc,470,62
GER 8901,Andre Tirre,Frank Wille,,44,63,64,53,77,63,56,dnc,53,473,63
GER 8500,Katharina Menge,Jens Kuehne,,77,59,58,66,70,62,42,40,dnc,474,64
GER 8458,Anika Kébreau,Raik Wollenbecker,,86,82,75,71,64,54,53,39,41,479,65
LUX 8934,Elisabeth Speyer,Pierre Kieffer,,38,34,71,36,57,66,dnc,dnc,dnc,482,66
GER 8777,Stefan Schollmayer,Frisco Sanguino,,53,26,49,65,72,44,dnf,dnc,dnc,489,67
GER 8947,Ralf Schneidewind,Dirk Penno,,dsq,61,60,76,19,55,41,dnc,dnc,492,68
AUS 9105,Vivian Marcas,John McClain,,70,39,4,31,dnf,dnc,dnc,dnc,dnc,504,69
FRA 9084,Jacques Dechauffour,Sabine Dechauffour,,67,77,70,50,50,48,dnf,dnf,dnf,542,70
BEL 9066,Geert De Pauw,Koen Jourquin,,64,53,77,54,61,56,dnf,dnc,dnc,545,71
SWE 8837,Tord Lawner,Tomas Gustafsson,,78,72,67,68,69,70,dnf,36,dnc,550,72
FRA 9086,Elisabeth Neidhart,Matthieu Gougeon,,20,68,62,64,dnf,dnc,dnc,dnc,dnc,574,73
NED 8287,Mark Kalf,Muk Kalf,,79,75,82,70,80,78,dnf,44,dnf,598,74
SWE 9092,Knut Hastenpflug,Jana Hastenpflug,,60,83,69,72,73,64,dnf,dnc,dnf,601,75
GER 8317,Christina Burger,Volker Niediek,,51,33,73,dnf,dnf,dnf,dnc,dnc,dnf,607,76
FRA 8969,Thomas Pype,Romain Delmotte,,69,70,78,74,71,71,dnc,dnc,dnc,613,77
GER 8999,Karsten Stümpel,Ute Stümpel,,71,62,76,dnf,76,68,dnc,dnc,dnc,623,78
GER 8533,Roger Bussenius,Robert Bussenius,,82,dsq,79,82,78,73,55,dnc,dnc,629,79
GER 8505,Mario Tirre,Henry Stoffers,,72,81,83,75,74,76,dnf,dnc,dnc,641,80
GER 8721,Daniel Czeninga,Martin Lietz,,76,78,74,81,81,72,dnf,dnf,dnc,642,81
FRA 8770,Jean Pierre Noclain,Roger Chabaud,,80,74,81,79,79,79,dnf,dnc,dnc,652,82
GBR 8745,Patrick McGale,Paul Von Grey,,81,85,80,dnf,dnf,dnc,dnf,dnc,50,656,83
GER 8376,Peter Wichtrup,Lars Schmietenknop,,85,87,84,80,75,74,dnc,dnc,dnf,665,84
POL 7942,Mieczysław Szwed,Piotr Kosobucki,,84,88,85,78,67,dnc,dnc,dnc,dnc,672,85
GER 8052,Jürgen Feuerhake,Anne Nehrenberg,,58,84,87,dnf,dnf,dnf,dnc,dnc,dnc,679,86
BEL 8543,Alain Mineur,Fabienne Boucau,,87,73,dnf,dnf,82,77,dnf,dnc,dnc,679,87
GER 8670,Theo Kohl,Juliane Kohl,,88,86,88,83,83,dnf,dnc,dnc,dnc,698,88
GER 8469,Hansjoerg Ehlers,Thomas Afken,,83,80,86,dnf,dnf,dnc,dnc,dnc,dnc,699,89
