Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
GER,8663,"Norbert Dasenbrook","Sven Meier",KSW,"DNF 52","DNF 52",30,24,19,23,200,,31
DEN,8440,"Per Larsen","Uffe Andersen",Farum,34,15,33,17," 52"," 52",203
GER,8376,"Volker Niedik","Stefan Heising",BSV,17,"DNF 52","DNC 52","DNF 52",14,8,195,,33
GER,8625,"Alex Cross","Falko Braun",SCR,"DNF 52",28,24,30,31,"DNF 52",217,,34
GER,8712,"Siegfried Labenz","Christian Labenz",SVWu,24,30,41,"DNC 52",28,"DNC 52",227,,35
GER,8385,"Martin Bernauer","Ulf Geisler",CNFT,"DNF 52",33,"DNC 52",31,36,24,228,,36
DEN,8581,"Jon Andersen","Lasse Andresen",Reers,13,27,"DNF 52",26,"DNF 52","DNC 52",222,,37
GER,8657,"Melanie Horstmann","Georg Neulen",HSC,"DNC 52","DNC 52",40,32,30,26,232,,38
GER,8607,"Antje Paulsen","Björn Schaar",BSV,"DNF 52","DNC 52",35,35,41,30,245,,39
GER,8788,"Karsten Lahrs","Peter Gerdts",HYC,"DNF 52",32,"DNC 52","DNC 52",32,27,247,,40
GER,8642,"Thoralf Greger","Christoph Klein",ASVG,"DNF 52","DNC 52",38,"DNC 52",34,20,248,,41
GER,8702,"Martin Handel","Frank Letsche",SGK,"DNC 52",34,32,34,"DNF 52","DNC 52",256,,42
GER,8570,"Alexander Kodisch","Knut Herbold",DTYC,"DNF 52",35,39,36,"DNC 52","DNC 52",266,,43
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,"DNF 52","DNC 52",42,"DNC 52",38,32,268,,44
GER,8108,"Thorge Holm","Rebecca Strahl",BCN,"DNC 52","DNC 52","DNC 52",38,42,33,269,,45
GER,8654,"Nikolaus Jägersberg","Moritz Theden",SCLW,"DNC 52","DNC 52",37,37,40,"DNC 52",270,,46
GER,8741,"Hans-Christian Schwieger","Jörg Siebert",NRV,31,36,"DNF 52","DNF 52","DNC 52"," 52",275,47
GER,8127,"Kristine König","Thilo König",BSV,"DNF 52","DNC 52","DNC 52","DNC 52",39,29,276,,48
GER,8441,"Rainer Gerdes","Bettina Dittemer",SSCK,"DNF 52","DNC 52","DNC 52","DNC 52",37,31,276,,49
GER,8721,"Martin Seikel","Norbert Becker",PSVK,"DNC 52","DNC 52","DNC 52","DNC 52",24,"DNC 52",284,,50
GER,8633,"Sophie Söllner","Wolfgang Stückl",CYC,"DNF 52","DNF 52",33,"DNF 52","DNC 52","DNC 52",293,,51
GER,8533,"Roger Bussenius","Robert Bussenius",SCOH,"DNF 52","DNC 52","DNC 52",39,"DNC 52","DNC 52",299,,52
