licences,,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Crew club,points,place
GBR,,Stuart Turnbull,Jason Lunn,BURTON SAILING CLUB,35,21,17,45,20,17,17,24,,151,23
FRA,,Vibert Marc,Lapeyre Bertrand,CVML,21,19,28,15,36,30,20,30,S N P H,163,24
GER,,Hubert Guy,Detappe Xavier,ABYC GER,13,DPI,RDG,RDG,18,13,DNF,31,A S CHEMINOTS ROCH,165,25
FRA,,Francis Doerenbecher,Wolff Philippe,C N DE SCIEZ,22,25,35,37,28,20,27,13,A C D'ALSACE LORRAIN,170,26
SUI,,Catherine Houriet,Gil Donze,YCG SUI,32,35,23,12,35,57,32,12,,181,27
FRA,,Fourcadet Amaury,Fertin Vincent,BLAYE NAUTIQUE,30,28,18,32,33,25,22,27,Y C C,182,28
FRA,,Gachet Claude,Valery Kleber,YC Grenoble Chara.,36,20,21,16,29,35,31,33,YC Grenoble Chara.,185,29
FRA,,Lafortune Baptiste,Carvallo Gilles,C V SEINE-PORT,28,18,31,58,24,26,26,35,C N HAUTE SEINE,188,30
FRA,,François de Lisle,Brillaud Herve,C N FERRET,45,26,44,29,27,22,18,23,C N FERRET,189,31
BEL,,Geert de Pauw,Koen Jourquin,BEL,16,31,41,51,25,31,23,28,,195,32
GBR,,Martin Wedge,Scott Allen,RTYC GBR,23,24,30,36,32,23,DNF,41,,209,33
GBR,,Alastair Milton,Laurence Milton,HELENSBURGH SC GBR,31,42,39,21,43,21,16,52,,213,34
FRA,,Brenet Veronique,Peter Jean-Pierre,A C D'ALSACE LORRAIN,25,30,DSQ,23,37,40,42,20,A C D'ALSACE LORRAIN,217,35
FRA,,Alain Tosello,Niddam Yves,LES VOILES D ANTIBES,29,29,38,41,30,45,28,29,Y C BEAULIEU,224,36
FRA,,Jean-Baptiste Dupont,Ancelot Jean Claude,CV PARIS,39,39,26,31,41,54,33,39,S N O NANTES,248,37
SUI,8614,Jacot Valéry,Corsin Battaglia,CERCLE DE VOILE DE N,50,DNS,24,35,31,32,56,22,,250,38
FRA,,Viaud Pascal,Michel Nicolas,S R ROCHELAISES,26,33,46,56,40,33,36,38,C V A N NANTES,252,39
FRA,,Monnier Frederic,Plathier Yann,YC Grenoble Chara.,37,37,40,30,39,36,43,36,YC DECINES,255,40
ITA,8671,Giacinto Piacquadio,Anrea Messina,YACHTING CLUB CERN I,42,32,43,34,59,53,34,42,,280,41
BEL,,Philippe Vandersteen,Gennart Genevieve,SNEH BEL,40,47,36,39,44,48,41,DNC,,295,42
FRA,,Coulmin Pierre-Jerome,Peter Vincent,WIND 14,47,45,58,62,34,27,25,DNF,WIND 14,298,43
FRA,,Dumas Bruno,David Michel,C V ARCACHON,48,36,27,27,48,39,DNF,DNC,C V ARCACHON,301,44
FRA,,Lafortune Claude,Lafortune Adrien,C V SEINE-PORT,49,46,33,43,47,49,39,44,C V SEINE-PORT,301,45
FRA,,Karadjian Alain,Lafortune Jordane,CVSQ,41,38,45,38,64,50,DNF,32,C V SEINE-PORT,308,46
FRA,,Puissant Jean-Guy,Le Guen Bernard,CV LAC 3 PROVINCES,61,44,34,42,42,47,38,DNC,C.V. Joué-lčs-Tours,308,47
FRA,,Daguzan Thierry,Poirier Arnaud,S R ROCHELAISES,33,54,63,65,38,41,40,48,EV ROCHELAISE,317,48
FRA,,Ducros Jean Philippe,Victor Antoine,CVML,38,49,61,48,51,51,50,46,CVML,333,49
FRA,,Vassor Eric,Chene Pierre Yves,USAM Voile Brest,54,51,62,55,46,44,30,DNF,USAM Voile Brest,342,50
FRA,,Maupay Jerome,Caminade Francois,YC Grenoble Chara.,46,43,52,50,52,52,54,47,YC Grenoble Chara.,342,51
FRA,,Boiry Michel,Hubert Jean-Baptiste,CV PARIS,62,48,42,47,62,55,53,40,C V SEINE-PORT,347,52
FRA,,Gracies Bruno,Thibaud Cyril,EV ROCHELAISE,DNF,40,54,44,49,46,DNF,43,G S LA ROCHELLE,352,53
FRA,,Conversy Gael,Ferrois Melissa,Y C BEAULIEU,55,55,48,54,55,56,46,49,Marseille YCPR,362,54
GBR,,Jim Berry,David Barnes,GBR,27,DNF,47,57,54,38,DNF,DNF,,375,55
FRA,,Jean Jeremy,Duquesne Philippe,S N O NANTES,DNF,DNS,37,28,68,58,DNS,37,S N O NANTES,380,56
FRA,,Neidhart Elisabeth,Gougeon Matthieu,CVML,44,DNF,49,26,DNF,DNS,DNF,34,CVML,381,57
FRA,,Gerard Daugey,Dominique Rouanne,CVML,DNF,DNS,56,52,DNF,43,48,45,Y C CAVALAIRE,396,58
FRA,,Tristan Debry,Alain Debry,Y.C.DINARD,52,DNF,51,61,60,60,47,DNF,Y.C.DINARD,407,59
FRA,,Dechauffour Jacques,Dechauffour Sabine,S N O NANTES,58,53,66,63,65,68,44,DNF,S N O NANTES,417,60
FRA,,Dominique Picou,Bouton Fabrice,S R ROCHELAISES,DNF,DNS,68,69,53,42,37,DNC,S R ROCHELAISES,421,61
FRA,,Hue Patrice,Pierre Francois Hue,C V ANGERS,59,DNF,50,53,50,62,DNS,DNF,S N P H,426,62
FRA,,Mouclier Emmanuel,Thiberge Olivier,CVML,57,50,69,70,61,DNF,45,DNF,CV PARIS,428,63
GER,,Jürgen Feuerhake,Anne Nehrenberg,YCSB GER,56,52,55,66,66,64,DNF,DNF,,435,64
FRA,,Carvallo Samuel,Sebastien Rauly,C N HAUTE SEINE,51,DPI,70,73,58,66,52,DNF,C N HAUTE SEINE,441,65
FRA,,Jose Mendes,Lozouet Jean-Paul,CVML,DNF,DNS,65,49,70,67,DNF,50,CV PARIS,453,66
FRA,,Olivier Magret,Mathieu Glade,CNTL,53,DNF,57,46,DNF,DNF,DNS,DNC,S N DE SANARY,460,67
FRA,,Luc Vocanson,Thierry Muniglia,CVML,43,DNF,53,68,69,DNF,DNS,DNF,CVML,461,68
FRA,,Robert Lehmann,Bernard Edel,A C D'ALSACE LORRAIN,DNF,DNS,59,60,57,65,DNS,DNF,A C D'ALSACE LORRAIN,469,69
FRA,,Valentin Dechauffour,Pierre Gendry,S N O NANTES,DNC,DNF,60,59,63,59,DNF,DNF,S N O NANTES,469,70
FRA,,Daniel Nouraud,Finot Thibault,S R ROCHELAISES,60,DNS,64,67,56,DNF,DNS,DNF,S N O NANTES,475,71
FRA,,Alain Renoux,Frederic Lamarque,C V ANGOULEME,DNF,DNF,71,71,71,63,DNS,51,V LACANAU GUYENNE,479,72
FRA,,Jean Baron,Louis Dubernet,UNP CAPBRETON,DNF,DNF,67,DPI,45,DNF,DNS,DNF,UNP CAPBRETON,492,73
FRA,,Mathieu Puget,Nicolas Lacotte,USAM Voile Brest,DNF,DNC,DNF,DNF,72,69,55,DNF,USAM Voile Brest,500,74
NED,,Mark Kalf,,NED,DNF,DNS,72,72,67,61,DNF,DNC,,500,75
