NAT Sail number,HELMSMAN, Crew, Club,1,2,3,4,5,6,7,TOTAL,
FRA 8452,Pierre Soulier,Bernard Peuch,YC CARNAC,50,40,50,53,44,45,59*,318.0,53
GER 8335,Roger Rachuba,André Müller,SC STEUWT. ,41,56,41,59,61*,60,31,324.0,54
GER 8542,Tom Swift,Martin Schöler,HAMBURG,56,51,66,48,67*,40,29,326.0,55
GER 8642,Stefan Schollmayer,Petersen,SC MAINSP. Francisco San.,45,30,DNC,DNC*,43,35,61,330.0,56
GBR 8568,Christian Diebitsch,Peter Burwood,GRAFHAM SC,59,33,53,60,52,61*,47,340.0,57
DEN 8565,Anne Sophie Olsen,Carsten Petersen,AARHUS Y,66*,48,63,56,41,65,35,344.0,58
SWE 7956,Fritjof Sunesson,Haakan Larsson,DOMSANDS B ,36,74,46,55,55,49,DNF*,351.0,59
GER 8478,Volker Görge,Karsten Morf,TSV SCHILK,63,64*,45,57,54,41,55,351.0,60
GER 8522,Carsten Engel,Tobias Neumeyer,P-S KOBLNZ,39,59,58,63,34,69*,66,355.0,61
GER 8664,Carsten Hammer,Rod Simson,SCHILKSEEE,48,50,60,64,50,51,DNF*,359.0,62
FIN 7784,Thomas Held,Mike Laiho,NSK,67,39,70*,65,48,46,60,361.0,63
GER 8567,Jörg Detmold,Holger Neuhaus,CSC HATT.,51,45,65,61,68*,56,50,364.0,64
GBR 8592,Paul Lovesy,Andy Williams,DATCHET SC,77*,68,55,66,63,54,44,386.0,65
GER 8392,Martin Seikel,Norbert Becker,PSVK,65,69,71*,62,51,43,64,390.0,66
GER 8607,Bernd Kowalzig,Ulrich Ellerbeck,SC B KIEL,62,62,62,DSQ*,69,58,45,394.0,67
GBR 8510,Martin Wedge,Gordon Russen,RBYC,73*,61,59,50,64,68,56,394.0,68
SUI 8346,Jürg Weber,Philip Grob,SVT,72*,63,49,67,62,55,65,397.0,69
DEN 8561,Peter Møller,Martin Thumle,NÆSTVED S,70,66,67,71*,28,67,67,401.0,70
USA 8494,Dave Cahn,Pip Pearson,SFYC,61,72,68,72,75*,63,46,418.0,71
DEN 8581,Birgitte Søgaard,Carsten Barlebo,GSK,60,70,52,58,65,DNC,DNC*,421.0,72
GBR 8474,Chris Thorne,Ben Benjamin,PORTISH.SC,69,71,73,69,74*,64,58,440.0,73
NZL 8391,Michael Nolan,Andrew Nolan,Q.MARY SC,76*,75,69,68,66,66,68,448.0,74
GBR 8532,Jim Berry,Richard Berry,PORTISH.SC,71,73,72,70,70,62,DNF*,454.0,75
FRA 8444,Christian Lippi,Lancelot Lippi,SR LEHAVRE,75,76*,74,74,73,70,69,471.0,76
FRA 8436,Dominique Gauvin,Gilles Carvallo,CN H.SEINE,DNF*,77,75,73,71,72,70,474.0,77
GBR 8435,Patrick McGale,Tom Ward,Q.MARY SC,DNF*,78,76,75,76,71,71,483.0,78
GER 8608,Günter Peters,Hanke Drengenberg ,ENSFR.,74,54,DNC,DNC,DNC,DNC,DNC*,484.0,79
