Nat,Sail No,Helmname,Crewname,BowNumber,R1,R2,R3,R4,R5,Total,Nett,Rank
AUS,9105,Marcos Vivian,John Mclean,111,"(100.0,DNC)",47,"100.0,DNC","100.0,RET","100.0,DNC",447,347,90
GBR,8055,Gary Fowler,Mark Fowler,9,84,66,"(100.0,RET)","100.0,DNC","100.0,DNC",450,350,91
AUS,8637,Sam Ga Cronin,Kevin Whitbread,15,74,"(100.0,RET)",81,"100.0,RET","100.0,DNC",455,355,92
AUS,9022,Ian Burford,David Christie,91,"(100.0,DNC)","100.0,DNC",56,"100.0,RET","100.0,DNC",456,356,93
SWE,9092,Knut Hastenpflug,Jana Hastenpflug,123,"(100.0,DNC)","100.0,DSQ",87,73,"100.0,DNC",460,360,94
POL,8909,Jan Domanski,Kacper Kaczmarek,23,86,"(100.0,RET)",77,"100.0,RET","100.0,DNC",463,363,95
GBR,8650,Terry Selfe,Alan Montague,54,"(100.0,DNC)","100.0,DNC",65,"100.0,RET","100.0,DNC",465,365,96
USA,9032,Jim Blyth,Donald Aitken,73,"(100.0,DNC)","100.0,DNC",68,"100.0,DNC","100.0,RET",468,368,97
AUS,8922,Michael Lawrence,Graeme Murphy,27,"(100.0,DNC)",68,"100.0,RET","100.0,DNC","100.0,DNC",468,368,98
SWE,7343,Gustav Franzén,Andreas Karoliussen,11,90,"(100.0,RET)",90,"100.0,RET","100.0,DNC",480,380,99
