Nation,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Club (crew),Points,Place
FRA,,Tilly Gerard,Ancelot Jean Claude,A.S.N. PERROS,33,20,46,11,C N B P P,64,26
FRA,,Lucienne Philippe,Lucienne Vivien,S R DE CREIL,42,26,27,16,S R DE CREIL,69,27
FRA,,Boiry Michel,Gougeon Matthieu,C .V. de PARIS,20,28,26,36,C V ST QUENTIN,74,28
FRA,8321,Nevo Laurent,Luro Jeancharles,S R ROCHELAISES,28,48,36,13,EV ROCHELAISE,77,29
BEL,,De Pauw Geert,Jourquin Koen,BEL,31,22,28,31,,81,30
GBR,,Iliffe Ben,Lake Simon,GBR,32,35,21,32,,85,31
FRA,,Champeau Alain,Pradeau Patrick,C N VASSIVIERE,46,34,14,39,C N VASSIVIERE,87,32
FRA,,Lafortune Baptiste,Carvallo Gilles,C V SEINE PORT,35,19,33,35,C N HAUTE SEINE,87,33
FRA,,Lafortune Claude,Frederic Pathier,C V SEINE PORT,21,43,43,27,C V SEINE PORT,91,34
FRA,,Guibbal Pierre,Chartier Simon,C Y V PARELOUP,44,44,23,30,C Y V PARELOUP,97,35
FRA,,Le Duc Gabriel,Thibaud Cyril,S R ROCHELAISES,27,45,37,34,G S LA ROCHELLE,98,36
FRA,,Muh Pierre,Keraudrenv Dominique,C.N. VIRY CHATILLON,30,29,39,42,C.N. VIRY CHATILLON,98,37
GER,,Feuerhake Jurgen,Nehrenberg Anne,GER,26,31,50,45,,102,38
FRA,8761,Raguet Jacques,Riot Marc,C V BORDEAUX,38,36,38,28,C.N. VIRY CHATILLON,102,39
FRA,,Buffet Marcel,Poulain Benjamin,C .V. de PARIS,47,32,31,40,C N LOCTUDY,103,40
FRA,,Gautier Francois,Wiedemann Elias,S R ROCHELAISES,40,39,32,33,,104,41
GBR,,Milton Alastair,Milton Laurence,GBR,DPG,DPG,25,37,,110,42
FRA,,Lasnier Gilles,Lasnier Laurent,Y C LES SABLETTES,49,33,40,41,Y C LES SABLETTES,114,43
FRA,,Got Claude,Payrou Camille,C N C.NET PERPIGNAN,45,49,34,38,C N C.NET PERPIGNAN,117,44
FRA,,Rouanne Dominique,Laurent Virginie,Y C C.VALAIRE,DPG,41,45,DSQ,Y C C.VALAIRE,122,45
FRA,,Descamps Thomas,Lesoil Lionel,Y C MER DU NORD,43,40,41,44,C V VALENCIENNES,124,46
FRA,,Maendly Helene,Le Roch Yann,C N B P P,36,38,52,DNF,C N B P P,126,47
FRA,,Coulmin Pierre-Jerome,Peter Vincent,WIND,50,30,51,48,WIND,128,48
GBR,,Berry Jim,Barnes David,GBR,48,OCS,44,43,,135,49
FRA,,Lehmann Robert,Edel Bernard,AC ALSACE LORRAINE,39,47,DNS,DNS,AC ALSACE LORRAINE,141,50
FRA,,Quemard Eric,Lambard Dominique,C .V. de PARIS,51,50,49,46,C .V. de PARIS,145,51
FRA,,Condroyer Xavier,Champenois Matthieu,C .V. de PARIS,52,51,48,49,C .V. de PARIS,148,52
FRA,,Le Gall Francois,Gautard Stephane,S R PERROS GUIREC,DNF,DNF,47,50,USAM VOILE,152,53
FRA,,Molinier Bertrand,Surbier Adrien,Y C GRENOBLE CHARA,DNS,DNF,DNF,51,Y C GRENOBLE CHARA,161,54
