Sail,no.,Skipper,Crew,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Punkte,Pl.
FRA,8761,Riot Marc,Riot Geoffroy,CNVC,49,45,66,56,39,69,36,,56
FRA,8521,Guibbal Pierre,Guibbal Mathieu,,42,65,41,53,44,67,43,,57
GBR,8885,Iliffe Ben,Lake Simon,,43,35,DNF,DNF,DNF,31,46,,58
GER,8530,Von Mertens Alexander,Wiesbauer Pia,StSC,62,52,61,55,49,65,48,,59
GER,8082,Markt Philippe,Markt Delphine,,53,SCP,59,41,61,64,51,,60
GBR,8907,Berry Jim,Barnes David,CVSC,DNC,DNC,56,58,56,49,38,,61
GER,8388,Wolffram Peter,Ottenschlager Stephan,,55,50,65,64,58,59,49,,62
FRA,8820,Lehmann Robert,Edel Bernard,ACAL,58,61,63,54,59,61,45,,63
FRA,8508,Plouviet Aurelie,Jungmann Jean-Marc,,61,63,42,61,DNC,41,SCP,,64
FRA,8567,Coulmin Pierre Jerome,Peter Vincent,Wind14,51,69,64,DNF,57,66,52,,65
FRA,8623,Daugey Gerard,Rouanne Dominique,SVST,66,62,57,62,SCP,68,57,,66
GER,8674,Bohnenberger Pedro,Pieper Tortsen,SCIA,64,71,67,65,63,62,56,,67
FRA,8565,Ferec Alain,Guillot Eric,,68,43,70,63,DNF,57,DNF,,68
GER,7978,Wahler Alexandra,Kramer Michael,,67,70,68,67,65,63,58,,69
FRA,7929,Hermieu Jean Philippe,Bergreen Jessy,St Tropez,65,67,69,66,SCP,69,54,,70
FRA,4664,David Denis,Dubruel Denis,,70,72,71,69,64,70,53,,71
FRA,8353,Verplanken Eric,Gresle Thierry,,69,64,72,68,66,71,60,,72
FRA,8301,Blaison Benoit,Pilleron Florian,,63,SCP,49,OCS,67,DNF,DNF,,73
FRA,8459,Banahan Lawrence,Fassio Thierry,,71,SCP,73,DNF,DNF,DNC,59,,74
FRA,6067,Molinier Bertrand,Surbier Adrien,,DNF,DNF,74,DNF,DNF,DNF,SCP,,75
