Nation,Boat NO,Helmsman,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GBR,7838,Richard Lord,Peter French,,38,29,116,16,43,10,136,25
GBR,7621,Gordon Kingston,Malcolm Jacques,,66,16,27,37,40,17,137,26
GBR,7189,Rob Napier,Andrew Napier,,57,13,25,15,116,30,140,27
GBR,7644,Neil Thorton,R. Burgess,,27,36,30,28,29,34,148,28
GBR,7714,John Button,David Gibbons,,37,61,47,9,9,47,149,29
GBR,7742,Martin Spence,Steve Smith,,7,53,33,44,30,36,150,30
GBR,7706,Dave Revill,Nigel Brackenbury,,48,46,19,22,16,115,151,31
GBR,7850,Steve Tew,T. Waterfall,,21,58,41,115,19,24,163,32
GBR,7665,Gary Langdown,Geoff Bettie,,33,39,48,49,36,8,164,33
GBR,7680,Tim Wills,Ian Preston,,5,35,44,54,33,66,171,34
GBR,7585,Nigel Summers,Nigel Burt,,24,72,59,40,26,26,175,35
GBR,7920,Paul Oakley,Paul Whitworth,,51,19,51,50,55,11,182,36
IRL,7900,Julian Cooke,Andrew Morris,,26,52,115,36,48,31,193,37
GBR,7720,Alan Bax,Ian Trotter,,79,31,31,88,17,40,198,38
GBR,7353,Peter Mee,David Lockwood,,16,45,89,64,21,53,199,39
GBR,7698,Ian Stewart,Tony Sampson,,13,38,52,57,115,39,199,40
GBR,7912,Steve Arkley,Dick Vivers,,44,49,53,12,58,46,204,41
GBR,7018,John Murphy,Dave Williamson,,52,51,13,115,52,38,206,42
GBR,7916,Allan Muir,David Forrest,,42,21,66,56,60,27,206,43
GBR,7345,Chris Timmins,Ian Munro,,34,115,36,74,15,51,210,44
GBR,7666,Robin Wood,Stephen Bowen,,58,34,35,42,46,116,215,45
GBR,7911,Gary Lowry,Mike Payne,,65,20,37,52,42,115,216,46
GBR,7735,Mark Upton-Brown,Andrew Hudson,,70,40,39,60,37,44,220,47
GBR,7265,Phil Brown,Debbie Brown,,46,42,69,34,38,65,225,48
GBR,7910,Keith Pitts,Ken Norris,,19,57,58,69,115,25,228,49
GBR,7461,Andrew Booth,John Redgate,,12,54,115,20,116,29,230,50
GBR,7547,Richard Newnham,Tim Symons,,78,30,23,53,56,115,240,51
GBR,7852,Phil Morrison,Nigel Appleton,,68,26,17,14,115,115,240,52
GBR,7645,Ivan Phillips,Marcus Melawaphy,,49,15,57,83,39,115,243,53
GBR,7807,Robin Whittle,Tim Whittle,,77,48,40,38,74,61,261,54
GBR,7690,David Wansborough,Clive Joyce,,115,78,79,47,18,49,271,55
GBR,7662,Roger Deane,Tim Williams,,115,60,46,35,115,16,272,56
GBR,7799,Peter Fisher,Michael Robertson,,115,28,45,45,77,77,272,57
GBR,7505,Neil Martin,Richard Hampson,,17,69,42,29,116,116,273,58
GBR,7553,Mike Brooks,Tim Brooks,,45,70,61,43,68,58,270,59
GBR,7594,Alan Henderson,David McClay,,56,41,77,70,57,56,276,60
GBR,6003,Tim Marlow,Eddy Parsons,,61,89,76,26,63,52,278,61
GBR,7700,Vernon Ralston,Peter Sidell,,115,115,18,11,20,115,279,62
GBR,7789,David Wood,Chris Day,,40,115,32,115,50,42,279,63
GBR,7884,Tom Carr,Kate Buie,,72,37,64,115,69,37,279,64
GBR,7767,Jim Berry,Dave Barnes,,25,81,115,76,45,54,281,65
GBR,7770,Chris Thorne,Mark Owen,,81,115,49,31,59,62,282,66
GBR,7923,Chris Dando,John Barry,,28,87,68,115,70,41,294,67
GBR,7447,Simon Pestell,Thomas Goddard,,73,63,83,71,41,48,296,68
GBR,7918,Bill Price,Peter Hallinan,,75,62,26,73,72,64,297,69
GBR,7680,Mike Platts,Nick Powell,,50,43,29,65,115,115,302,70
GBR,7780,P. Thompson,R. Gillespie,,63,50,71,98,54,74,312,71
GBR,7080,Christopher Osmond,Andy Thomas,,36,150,65,41,57,116,315,72
GBR,7653,Barry Middleditch,Peter Coit,,39,56,60,115,115,50,320,73
GBR,7914,David Lines,Peter Dawson,,91,59,115,84,14,75,323,74
GBR,7763,Donald Parsons,Tom Barrett,,74,55,38,48,116,116,331,75
GBR,7713,Adrian Gibbons,Philip Gibbons,,115,65,63,46,116,43,332,76
GBR,7626,William Ingram,Peter Meiklejohn,,64,79,43,87,81,68,335,77
GBR,6692,D. Houghton,C. Patmore,,55,66,115,80,64,74,339,78
GBR,7267,Oliver Scutt,Francois David,,61,82,86,66,75,55,339,79
GBR,7497,Fergus Duncanson,Graham Moss,,76,115,78,62,61,67,344,80
GBR,7802,Peter Fordham,Chris Ellenay,,88,73,74,59,83,63,353,81
GBR,6607,Gut Humphrey,Ian McKnight,,83,71,85,63,76,60,353,82
GBR,7805,Stephen Carson,Rob McCretton,,53,68,88,115,73,76,358,83
GBR,7429,Simon Rawlings,Michael Holt,,87,75,87,61,67,69,359,84
GBR,7801,Ian Coleman,Grant Edwards,,61,67,54,115,62,115,359,85
GBR,7504,Simon Drakeford,Richard Filer,,67,80,115,51,78,84,360,86
IRL,7625,Jack Anderson,David Allen,,80,83,56,72,79,78,365,87
GBR,7222,Dougal Henshall,A. Duncan,,115,77,70,55,49,115,366,88
GBR,7947,Bill Culshaw,Guy Roberts,,86,88,115,58,66,72,370,89
GBR,7836,Tim Wells,Geoff Dufton-Kelly,,95,90,67,115,65,57,374,90
GBR,5448,Nick Jerwood,Simon Jerwood,,59,91,80,68,82,116,380,91
GBR,6849,John Mitchell,Andrew Longworth,,60,86,116,67,116,59,388,92
GBR,7324,Gary Pearson,Philip Long,,71,92,115,79,80,72,394,93
GBR,7897,Roger Sutcliffe,Robert Wilkes,,92,115,75,85,116,33,400,94
GBR,7412,John Howlett,Ian Jewry,,90,85,84,81,115,70,410,95
GBR,7575,Nick Faulkner,Jim Eclford,,97,98,82,75,116,79,431,96
GBR,7210,A. Bowler,D. Hemingway,,82,84,115,115,71,81,433,97
GBR,7432,Alex Elles,David Sturrock,,85,93,115,77,115,80,450,98
GBR,7848,David Parker,,,115,64,115,115,44,116,453,99
GBR,7638,Peter Jullien,Keith Gyford,,94,101,115,86,115,83,479,100
GBR,7307,Paul Aldridge,Ian Smith,,84,94,73,115,116,116,482,101
GBR,7804,Peter Slater,Ian Herbert,,69,76,115,115,115,116,490,102
GBR,5678,Kevin Gallacher,Nigel Hills,,98,99,93,115,115,86,491,103
GBR,7004,Nigel Sharp,Peter Wills,,96,95,72,115,116,116,494,104
GBR,7664,Roger Harris,Geoff Ward,,43,115,115,115,116,116,504,105
GBR,7845,Philip lnscoe,Mike Geernaet,,115,96,62,115,116,116,504,106
GBR,6515,Mark Walter,Graham Robins,,115,100,90,115,115,85,505,107
GBR,7495,John Handslip,Ian lnscoe,,115,105,91,82,115,115,508,108
GBR,6785,Martin Patchett,Ian MClean,,93,103,92,115,116,116,519,109
GBR,3514,Simon Boygle,Steve Blakey,,115,97,115,115,115,82,524,110
GBR,6675,Stuart Goodman,Richard Morrell,,115,115,81,115,115,116,541,111
GBR,4561,Noel Ensoll,Crispin Ensoll,,115,115,115,115,115,88,548,112
GBR,6597,Alan Hughes,Greg Cullen,,99,104,116,115,116,116,550,113
IRL,7303,Michael Anderson,Grant Anderson,,115,102,116,115,116,116,564,114
