Sail,Boat No,Helm,Crew,Club/Country,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Crew Club/Country,Net P,P tot,Pos
FRA,8870,Christian Silvestre,Vincent Coltier,Y C ILE DE FRANCE,34,(51 DNF),36,37,37,46,46,41,POLE NAUTI SUD GOELO,277,328,41
GER,9133,Wolfgand Stueckl,,ALLEMAGNE,18,20,(51 DNS),51 DNS,51 DNS,51 DNS,51 DNS,51 DNS,,293,344,42
FRA,9068,Francois De Lisle,Marc Desjuzeur,C N FERRET,(51 DNF),51 DNF,51 DNS,51 DNF,38,34,38,39,C N RANCE FREMUR,302,353,43
FRA,8729,Jordane Lafortune,Bertrand Lapeyre,C V SEINE-PORT,(51 DNF),51 DNF,40,40,44,42,47,40,S N P H,304,355,44
GER,9113,Sophie Soellner,Karsten Stuempel,ALLEMAGNE,(51 DNF),51 DNF,51 DNF,51 DNF,51 DNF,18,33,51 DNF,-,306,357,45
SUI,8545,Titouan Marc-Martin,Jean Marie Tinembart,SUISSE,(51 DNF),51 DNF,38,42,42,45,41,51 DSQ,-,310,361,46
FRA,8950,Eric Quemard,Nicolas Picquerey,Y C ILE DE FRANCE,(51 DNF),51 DNF,42,39,40,47,45,51 DNF,Y C ILE DE FRANCE,315,366,47
FRA,9086,Elisabeth Neidhart,David De Monteil,Y C ILE DE FRANCE,(51 DNF),51 DNF,51 DNF,51 DNF,51 DNS,40,44,36,C V SEINE-PORT,324,375,48
AUS,9071,Richard Hyde,David Johnson,AUSTRALIE,(51 DNF),51 DNF,51 DNF,51 DNF,51 DNF,38,42,51 DNF,-,335,386,49
FRA,9014,Jean-Francois Martin,Bruno Desire,Y C BEAULIEU,(51 DNF),51 DNF,51 DNF,51 DNF,51 DNF,51 DNF,51 DNF,51 DNF,Y C BEAULIEU,357,408,DNA
