Nation,Segel-Nr.,Helm,Crew,Club (helm),Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Boat name,Club (crew),Gesamt,Platz
GER,9054,Anika Kébreau,Raik Wollenbecker,YCBG / B.120,19,27,-33,30,13,21,22,18,25,30,,YCBTF / SA.032,205,22
GER,8903,Steve Kwee,Thorsten Spötter,HSC / HA.004,22,28,17,-45,33,20,24,23,21,33,,HSC / HA.004,221,23
GER,8849,Henrik Schade,Fabian Vergil,WVW / BR.012,23,23,23,18,23,(DNF/49),DNC/49,27,30,24,,WVW / BR.012,240,24
GER,9144,Jürgen Anton,Ulf Denecke,HSC / HA.004,27,22,24,7,(DNS/49),DNC/49,DNC/49,22,18,25,Athena S.,HSC / HA.004,243,25
POL,9132,Przemek Zagórski,Michał Olko,YKS,21,10,22,20,25,(DNC/49),DNF/49,DNC/49,31,22,Bożena,YKS,249,26
GER,8875,Torsten Simon,Alexander Neddermeier,SCA / B.043,-36,31,26,28,30,25,23,34,26,27,,PYC / B.048,250,27
GER,9006,Michael Rehberg,Stefan Rausch,VBS / B.047,(DNC/49),DNC/49,DNC/49,26,5,18,21,24,28,39,,SCP / BG.012,259,28
GER,8458,Robert Bautz,Sascha Spors,ASVZR / MV.035,37,35,36,37,15,24,26,28,27,-44,,ASVZR / MV.035,265,29
GER,9141,Konrad Otto,Martin Lietz,SG SEEBURG / SA.027,40,(DNC/49),30,25,31,26,30,38,32,18,,FSV03E.V. / BG.063,270,30
GER,9161,Walter Steding,Hans-Werner Steding,HSC / HA.004,24,34,(DNC/49),13,27,DNC/49,DNC/49,DNC/49,13,17,Seniorenstift,HSC / HA.004,275,31
GER,8550,Martha Hauschild,Michael Heyder,SCS / B.106,30,26,21,29,24,(DNC/49),DNC/49,29,33,37,Devotion,SCF 1891 / B.118,278,32
GER,9123,Enno Wilts,Martin Bernauer,SGJ / SH.171,28,32,35,-46,35,23,28,26,37,36,Sophist,CKA / HA.048,280,33
POL,8802,Dominik Ostrowski,Jan Siekierzynski,SWOS,-39,24,31,38,16,31,31,33,39,38,,SWOS,281,34
GER,9021,Jens Biederer,Annighöfer Hendrik,HSC / HA.004,35,25,25,31,18,(DNC/49),DNC/49,32,34,32,,HSC / HA.004,281,35
GER,8750,Peter Kruse,Arne Wittemer,SC HATTINGEN / NW.273,(DNC/49),19,27,35,26,DNC/49,DNC/49,25,38,26,,WYD / NW.040,294,36
AUS,9071,Richard Hyde,David Johnson,Darling Point Sailing Club,25,42,34,-44,42,28,27,30,35,31,Red Baron,Bsc,294,37
GER,8988,Georg Mittermayer,Dirk Barteldt,SCLL / BA.111,33,30,32,40,29,29,25,42,36,-46,Larissa,SCVP / SH.085,296,38
GER,8672,Dirk Hütten,Guido von Walter,SGR,31,39,42,33,20,27,32,41,-45,35,,SCLW,300,39
GER,8947,Ralf Schneidewind,Oliver Schürmann,SLRV / N.191,32,29,20,16,36,(DNC/49),DNC/49,DNC/49,40,34,Purzel inside,SLRV / N.191,305,40
GER,8932,Christian Henge,Katharina Menge,WSCW / SH.081,41,40,38,24,21,(DNC/49),DNC/49,31,42,21,,OSG / HA.080,307,41
GER,8533,Roger Bussenius,Robert Bussenius,SCOH / B.027,29,33,40,39,43,30,29,36,-44,41,,SCOH / B.027,320,42
GER,8964,Iris Anton,Bruno Laudage,HSC / HA.004,38,36,37,32,37,(DNC/49),DNC/49,35,29,40,Green Boat,HSC / HA.004,333,43
GER,8999,Rebecca Snedker,Frederik Burmester,SC Rhe / HH001,45,41,43,36,44,(DNF/49),33,40,43,43,Godzilla,SC Rhe / HH001,368,44
GER,8630,Lars Lankenau,Thomas Wasilewski,SFHS / HA.067,43,43,41,43,32,(DNC/49),DNC/49,39,41,42,HighFive,SLRV / N.191,373,45
GER,9000,Thorsten Pösch,Malte Fiedler,SCSZ / N.068,34,37,39,(DNS/49),39,DNC/49,DNC/49,43,46,45,,SVBS / N.072,381,46
GER,8469,Hansjörg Ehlers,Thomas Afken,ZSK / N.039,42,44,(DNS/49),42,45,DNC/49,DNC/49,44,DNC/49,DNC/49,,ZSK / N.039,413,47
GER,8664,Jeremias Paulke,Markus Paulke,WSC / BG.017,44,45,44,47,(RET/49),DNC/49,DNC/49,45,DNC/49,DNC/49,Butt,WSC / BG.017,421,48
