Nation,Boat No,Helm,Crew,Club,Race 1,Points,Place
GBR,7272,Colin Fry,John Woodhouse,,,138,46
GBR,7161,Richard,John Henshelwood,,,139,47
GBR,7390,J P Murphy,Mark Southee,,,144,48
GBR,7490,Ken Brackwe,,,,150,49
GBR,7216,Joan Ingram,Jack Edwards,,,150,50
GBR,7238,P G Fordham,Brian Wright,,,150,51
GBR,6790,John McLeman,,,,151,52
GBR,7325,Damien Chisholm,Richard Hampson,,,157,53
GBR,6794,Rob Palmerone,Mike Barnes,,,159,54
GBR,6781,Paul Walker,Mike Porter,,,167,55
GBR,7429,Robert Shaw,J Bowman-Daniels,,,167,56
GBR,6958,Mike Platts,Jamie Campbell,,,173,57
GBR,7464,Colin Streatfield,,,,174,58
GBR,7378,R B Bennett,Simon Spratt,,,176,59
GBR,7134,Fred Kinmonth,John Hopley,,,177,60
ZIM,7169,Nigel MilIn,A J Baker,,,178,61
IRL,7433,Julian Cooke,Wicliff McCready,,,179,62
GBR,6890,David Rose,Nigel Bultitude,,,180,63
GBR,6552,John Berry,Nicholas Brooker,,,184,64
GBR,7308,Stephen Northeast,Andrew Gibson,,,185,65
GBR,7385,Jim Hair,Gordon Smith,,,187,66
GBR,7376,Nick Faulkner,,,,"188,5",67
GBR,6879,Andrew Gilmour,Nigel Squirrel,,,191,68
GBR,7309,Peter Northeast,Simon Faire,,,192,69
GBR,6959,William Ingram,Peter Meiklejohn,,,195,70
GBR,7328,Chris Thorne,David Thorne,,,201,71
GBR,7379,Jim Berry,Mike Priddle,,,205,72
GBR,6066,Mike Oldroyd,,,,211,73
GBR,7447,Dave Treloar,Allan Bailey,,,211,74
GBR,7108,David Davies,David Hughes,,,216,75
GBR,6155,John Reddy,Mike Harry,,,217,76
IRL,7440,Denis O'Sullivan,Michael Hamilton,,,210,77
GBR,5870,Alan Vanner,Martin Vanner,,,220,78
GBR,7369,John Button,John Pipe,,,772,79
GBR,6538,G K Woolmington,,,,224,80
GBR,6881,Martin Oliver,David Oliver,,,224,81
GBR,7398,Simon Nelson,Julian Smith,,,228,82
GBR,7210,Simon Morley,Jim Williams,,,230,83
GBR,6161,Robert Longworth,Andrew Longworth,,,231,84
GBR,6933,Ossie Stewart,Ray Selling,,,231,85
GBR,7434,Barry Middleditch,Peter Coit,,,234,86
GBR,6279,Ian Wilson,Rod Collins,,,235,87
GBR,6850,Bill Culshaw,Jeff Dutton-Kelly,,,236,88
GBR,7144,Alan Draper,John Oliver,,,237,89
GBR,7056,Richard John,Wayne Lowrey,,,243,90
GBR,6144,Les Everitt,Neil Turner,,,243,91
GBR,7183,David Wood,Chris Day,,,246,92
GBR,6849,John Mitchell,,,,250,93
GBR,6675,David Goodman,Tony Archer,,,251,94
GBR,6462,Jack Pearson,Steve Graham,,,254,95
GBR,6358,Nick Race,,,,257,96
GBR,3743,G M Gillan,Andrew Yates,,,258,97
GBR,7412,John Howlett,,,,271,98
GBR,7315,David Wansbrough,Carl Randall,,,271,99
GBR,4070,Marc Bell,,,,272,100
GBR,6513,S Costain,David Topp,,,273,101
GBR,4918,Craig Evans,Andy Waughman,,,"282,5",102
GBR,5934,P Jones,David Ebdon,,,285,103
GBR,6857,Roger Sutcliffe,,,,294,104
GBR,4802,Tom Russell,John Bickerdyke,,,297,105
GBR,5975,D N Parker,,,,306,106
GBR,7386,Andrew Wastall,,,,330,107
GBR,6871,A P Lowndes,,,,330,108
