Nation,Boat NO,Helmsman,Crew,,Race 1 Pos.,Race 2 Pos.,Race 3 Pos.,Race 4 Pos.,Race 5 Pos.,Race 6 Pos.,Total Points,Place
GBR,7969,Bill Barker,Peter Aitken,,53,74,72,44,49,,292,62
GBR,8004,Martin Hodgson,Donald Sloan,,47,79,55,74,71,46,293,63
GBR,8145,Mike Brooks,Tim Brooks,,50,71,80,64,56,60,301,64
GBR,7504,Rob Burridge,Martin Palmer,,,78,49,73,75,34,309,65
GBR,8131,Robin Whittle,Tim Whittle,,44,,59,61,,25,310,66
GBR,7715,Peter Way,Brian King,,,73,56,69,61,54,313,67
GBR,7580,Mike Platts,A. Swale,,40,49,61,41,,,314,68
GBR,7527,Luke South,Ashly South,,70,41,67,80,,57,315,69
GBR,7944,Paul Bench,Richard Cavepenney,,73,76,81,66,67,36,318,70
GBR,8023,Cohn Hamlet,Andy Hill,,66,67,66,87,69,51,319,71
GBR,7345,John Wyles,Mike Wilson,,83,65,64,75,70,39,319,72
GBR,7894,Russell Ward,Richard Ward,,,29,58,60,,52,320,73
GBR,8130,Ian Coleman,Simon Clover,,55,,87,72,68,45,326,74
GBR,8141,Simon Pestell,Martin Harvey,,67,75,77,56,54,,329,75
GBR,6873,Diana Hewitt,Adrian Hewitt,,75,36,,81,76,64,332,76
GBR,7898,John Howlett,Ian Jewry,,64,,70,70,62,61,332,77
GBR,7601,Sam Neal,W. Knight,,71,55,76,76,74,58,334,78
GBR,8078,David Parker,Tom Marriott,,76,62,82,78,77,43,336,79
GBR,7706,Wayne Adams,Shaun Moyler,,78,58,74,77,72,68,349,80
GBR,8161,Leslie Everitt,Ken Burrough,,63,56,51,68,,,361,81
GBR,8154,Robert Burgess,Alistair Davidson,,68,,68,,58,48,363,82
GBR,7051,Kevin Gaucher,P. Willoughby,,79,54,88,83,81,67,364,83
GBR,8153,Richard Estaugh,R. Tomlinson,,51,46,,35,,,374,84
GBR,7412,D. Bell,P. Ward,,69,81,89,86,80,62,378,85
GBR,6807,I. Kennedy,R. Duckitt,,82,61,91,85,83,72,383,86
GBR,7675,Stuart Goodman,Simon Wood,,62,,85,,64,65,397,87
FRA,7888,Christian Lippi,I. Soard,,74,31,78,53,,,402,88
GBR,7788,Martin Wedge,Richard Allen,,84,86,90,84,79,70,403,89
GBR,6959,Miles Thomas,C. Morris,,85,,84,89,82,71,410,90
GBR,7490,Barry Parkin,Peter Shonk,,80,82,71,82,,,436,91
GBR,7862,Steve Drakeford,Bob Coles,,,84,83,79,73,,440,92
GBR,8087,Roger Sutcliffe,Robert Wilkes,,65,83,85,,,,474,93
GBR,7387,R. Gautier,D. Gautier,,,,,88,78,69,477,94
IRL,7768,Harvey Wordew,John Kewshaw,,81,80,92,,,,496,95
GBR,8080,John McLaren,Jack Edwards,,,27,,,,,519,96
GBR,7547,P. Daigneault,Brian Holt,,,85,79,,,,528,97
