Country,Sail No,Helm,Crew,Category,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points [1 drop],Place
USA,8577,Bruce Van Deventer,Weiler,Male,107,[124 DNF],99,104,110,100,520,112
AUS,8682,Richard Hyde,Phil Edney,Male,100,[124 DNF],118,84,117,103,522,113
GER,8282,Christian Lempp,Max Rauner,Male,104,[124 DNF],109,106,101,115,535,114
GBR,8591,David Bell,Peter Ward,Male,119,[124 DNF],96,105,111,106,537,115
USA,8245,Charlie Dore,Christian Pittack,Male,112,[124 DNF],115,116,113,88,544,116
USA,8939,John Wyles,Michael Renda,Male,[124 DNS],124 DNF,110,109,106,112,561,117
USA,8821,Katherine Long,Stephen Long,Mixed,[124 DNS],124 DNF,124 DNS,124 DNS,124 DNS,72,568,118
GBR,8745,Patrick McGale,Chris Pearson,Male,118,[124 DNS],113,117,115,110,573,119
CAN,8910,Alison Janidlo,Tom Janidlo,Mixed,111,[124 DNF],117,112,118,116,574,120
GER,7732,Iris Feldmann,Birgit Hartmann,Female,110,[124 DNF],114,120,114,117,575,121
GBR,8423,Martin Wright,Greg Young,Male,116,[124 DNF],119,115,116,113,579,122
ITA,4970,Maurizio Ingoglia,Ingoglia,Male,[124 DNF],124 DNS,124 DNF,124 DNF,124 DNF,119,615,123
