Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
AUS,8811,Matthew Hansen,Shane Attwell,,DNC 70,32,34,43,43,19,241,,31
AUS,8588,Murray Smith,Andrew Harry,,20,35,35,20,52,DNC 70,232,,32
AUS,8648,Jeff Robinson,Bryce Penfold,,45,20,43,33,28,39,208,,33
ITA,8097,Giovanbattista Bosio,Marco Superina,,25,41,45,35,35,28,209,,34
FRA,8270,Claude Gachet,Kleber Valery,YCG,39,39,36,52,26,35,227,,35
GBR,8701,Rob Napier,Pip Pearson,HoL,DNC 70,11,32,25,38,DNC 70,246,,36
FIN,8053,Petri Ebeling,Juhani Heimsch,,36,49,31,41,46,25,228,,37
FRA,8748,Frank Agrapart,Franz Agrapart,,7,37,62,39,39,DNC 70,254,,38
SUI,8543,Cedric Bart,Veli Marti,CNB,DNC 70,6,21,DNC 70,DNC 70,15,252,,39
ITA,8127,Marco Gambardella,Roberto Candela,,22,46,41,36,42,48,235,,40
USA,8904,Hubert Guy,Steve Adolph,,DNC 70,30,49,17,56,38,260,,41
ITA,8743,Marco Giraldi,Paolo Corbellini,UVM,43,56,47,30,15,DNC 70,261,,42
POL,8358,Marcin Józefowski,Jacek Barankiewicz,,38,47,39,DNC 70,43,37,274,,43
GBR,8955,Simon Lake,Ben Iliffe,P.Cambs,DNC 70,24,50,42,44,45,275,,44
FRA,8949,Florian Faucheux,Cedric Faucheux,CST,29,44,58,47,27,DNC 70,275,,45
AUS,8501,Finch,Shiner,,44,42,55,53,40,29,263,,46
IRL,8542,Ronan Kenneally,John Dunlea,,31,RAF 70,40,34,DNC 70,41,286,,47
FRA,8847,Michel Boiry,Francois Schluchter,CVP,27,52,51,48,41,DNC 70,289,,48
AUS,8558,Richard Hyde,Samuel Hyde,,50,45,46,28,50,DNC 70,289,,49
GER,8775,Alexander Holzapfel,Carsten Engel,PSVK,DNC 70,DNC 70,DNC 70,23,21,34,288,,50
USA,8790,John Wyles,Solomon Marini,,28,57,37,58,49,52,281,,51
POL,8416,Przemek Zagorski,Piotr Juckiewicz,SKZ,32,51,48,50,47,46,274,,52
GER,8599,Florian Duwe,Marc Helms,TSC,DNC 70,40,DNC 70,32,DNC 70,13,295,,53
POL,8130,Jarosław Grabowski,Michał Olko,,DNF 70,55,44,59,33,40,301,,54
GBR,8773,Simon Payne,Bill Masterman,HISC,42,54,57,49,DNC 70,30,302,,55
ITA,8916,Di Feo,Gabriele Natatli,,35,48,33,44,DNC 70,DNC 70,300,,56
IRL,8514,Peter Scannell,Pal O’Sullivan,,DNC 70,DNC 70,DNC 70,31,20,44,305,,57
GER,8370,Karsten Stümpel,Ute Stümpel,HSC,48,58,54,54,45,49,308,,58
GBR,8907,Jim Berry,David Barnes,CVSC,49,50,59,40,DNC 70,55,323,,59
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,53,34,56,DNC 70,DNC 70,53,336,,60
GER,8730,Enno Wilts,Thorge Holm,SVBB,51,60,52,57,55,54,329,,61
GER,8500,Christian Henge,Matthias Fedde,OSG,DNF 70,53,53,62,51,51,340,,62
AUS,8628,Peter Croft,Gary Rushton,,41,RAF 70,DNC 70,55,54,50,340,,63
AUS,8498,Derick Warne,Mark Schwegman,,47,DNC 70,61,51,DNC 70,42,341,,64
USA,8245,Charlie Dore,Christian Pittack,,46,61,64,60,57,56,344,,65
AUS,8185,Paul Ridgway,Aaron Ross,,DNC 70,22,DNC 70,56,DNC 70,DNC 70,358,,66
GER,7732,Iris Anton,Birgit Hartmann,HSC,DNC 70,59,63,DNC 70,53,DNC 70,385,,67
GER,8433,Jürgen Anton,Ulf Denecke,HSC,DNC 70,DNC 70,38,DNC 70,DNC 70,DNC 70,388,,68
CAN,8910,Alison Janidlo,Tom Janidlo,,DNF 70,DNC 70,60,61,DNC 70,DNC 70,401,,69
