Country,Boat No,Helm,Crew,Club,Race 1,Points,Position
SWE,3106,Roy Wedin,Peter Sandsjö,HABK,,171,34
GER,4320,Nedelko,Detlev,YCS,,173,35
SWE,3858,Karl-Erik Nilsson,Lars Larsson,TKK,,173,36
SWE,4720,Thomas Rudewald,Thomas Lundberg,KK,,175,37
SWE,3924,Stefan Eriksson,Sven Karlsson,HABK,,183,38
FRA,4603,Jean Thobie,Patrick Ricci,CNBP,,188,39
FRA,4332,Drianno,Robin,SNO,,189,40
GER,4123,Luder,Wolfgang Pollex,TSVS,,189,41
SWE,3956,Åke Hansson,Bengt Hansson,GKSS,,189,42
FRA,4881,Pierre Nesseler,Philippe Nesseler,CVE,,191,43
FRA,4869,Bert,Le Rolland,CVP,,199,44
FRA,4390,Michel Grossain,Flanet,CNM,,200,45
FRA,4821,Chaigne,Fourige,CNBP,,203,46
FRA,4479,Le Gloahec,Léopold Leger,CVP,,206,47
DEN,4489,Madsen Mygdal,Carlberg,HS,,214,48
FRA,3694,Levesque A.,Seguinou,SNO,,217,49
SWE,4178,Ray Larsson,Bengt Magnusson,MSS,,220,50
FRA,4238,Beaugeard,Michaud,CNBP,,223,51
FRA,4596,Arnaud,Beauchene,CNBP,,235,52
FRA,3189,Jacques Raguet,Bouyge,YCA,,236,53
GER,4386,Frisch,Kerkloh,SCLWS,,242,54
RSA,4834,Dobeyn,Ellens,HMYC,,"242,7",55
DEN,4543,Jens Christensen,Jes Thomsen,HS,,243,56
SUI,4357,Nordeide,Nordeide,SCZ,,244,57
FRA,4748,Alain Preel,Patrick Conard,SRCO,,245,58
SUI,4285,Wickart,Himmelsbach,YCZ,,256,59
FRA,4680,Callamand,Legre,YCPR,,259,60
FRA,4800,Mesmin,Tande,SRR,,260,61
HKG,4177,Nater,Lennox King,RHKYC,,261,62
FRA,4453,Fenouil,Lepage,CNV,,264,63
FRA,4664,Jean-Marc Boudier,Annie Boudier,CVP,,266,64
FRA,3113,Jouanny,Camel,TOAC,,267,65
FRA,4573,Fayein,Fayein,CNV,,274,66
FRA,4684,Evers,Feraul,SVSS,,275,67
FRA,4703,Gilbert,Fountaine,YCB,,277,68
FRA,3709,Gérard Derché,Alain Derché,CNBP,,277,69
FRA,4891,F. Souvestre,Souvestre,CVM,,281,70
FRA,3277,Cettier,Chavasnerie,CVP,,289,71
FRA,3184,Robert Comte,Hubert Perrin,YCP,,293,72
FRA,3153,Galet,Galet,CVM,,294,73
FRA,2793,Lepage,X. Lévesque,SNO,,311,74
FRA,4501,Lallemand,Lallemand,CVP,,312,75
FRA,4605,Gre,Salou,CNHS,,314,76
FRA,4803,Guyot,Trehoust,CVP,,316,77
FRA,4488,Fouche,Crochet,CVSR,,317,78
FRA,4910,Roland Jouandeau,Hedouin,CNVC,,318,79
FRA,3593,Picard,Tesson,CVESQ,,322,80
FRA,3703,Hebert,Hebert,YCJ,,326,81
FRA,3103,Galvez,Galvez,ACAL,,327,82
FRA,4004,Heitz,Wantz,CYVGL,,328,83
FRA,4399,Duhau,Chaillou,CVP,,331,84
FRA,4036,Taillandier,Dautzenberg,YCP,,333,85
FRA,3716,Jamin,Luthringer,CVP,,336,86
HKG,4767,John Locke,Antony Pusinelli,H,,340,87
FRA,4861,Creton,Moriniere,CVQP,,340,88
FRA,4224,Villain,Penaud,CNAR,,341,89
FRA,2699,Robin,Piro,CNBP,,352,90
SWE,3032,Quellmaz,Stahl,SISC,,357,91
SWE,3756,Sigma,Jensen,SKS,,369,92
FRA,3720,Carlier,Margot,CNBP,,376,93
FIN,4309,Johansson,Weber,SSS,,377,94
SWE,1188,Reliquet,Garbaccio,CNBP,,390,95
FRA,4005,Douillard,Dousselin,CNSM,,404,96
FRA,2815,Fideliare,Castelain,TCFC,,408,97
