Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,,total,
BEL,8463,Emiel Van Hemeldonck,Jan Van Hemeldonck,,39,21,31,34,DNC,34,,159,26
SUI,8569,René Betschen,Philippe Jacot,,25,16,13,6,DNC,DNC,,160,27
GER,8539,Oliver Ziems,Ute Ziems,,54,23,41,DNC,26,18,,162,28
FRA,8431,Hervé Druart-Pariat,Thomas Boudier,,18,20,DNC,DNC,19,17,,174,29
GER,7970,Kai Löblein,Roland Wiedemann,,46,32,38,30,45,29,,174,30
GER,8522,Carsten Engel,Tobias Neumeyer,,DNC,25,39,36,49,27,,176,31
GER,8671,Markus Mühlbauer,Angela Stenger,,3,DNC,28,26,DNC,21,,178,32
GER,8567,Jörg Detmold,Holger Neuhaus,,47,36,33,22,41,DNC,,179,33
FRA,8400,Marc Jouany,Erik Nigon,,29,27,56,DNC,38,33,,183,34
GER,8528,Falico Braun,Philipp Führer,,43,42,53,37,40,28,,190,35
GER,8580,Christian Schäfer,Uwe Lätzsch,,33,19,19,31,DNC,DNC,,202,36
FRA,8352,Jean-Pierre Noclain,Jean-Pierre Noclain,,77,40,32,DNC,30,25,,204,37
GER,8642,Stefan Schollmayer,Franscisco Sanguino-Petersen,,31,33,24,29,DNC,DNC,,217,38
FRA,8545,Alain Preel,Stephane Pedron,,50,29,65,45,DNC,30,,219,39
GER,8550,Dietrich Scheder-Bieschin,Johan Arvedson,,6,DNC,15,DNC,4,DNC,,225,40
GER,8571,Karl-Heinz Hilgers,Wolfgang Bogacki,,76,DNC,46,39,23,41,,225,41
GER,8652,Sebastian Dörr,Christian Dörr,,9,41,44,DNC,32,DNC,,226,42
FRA,8491,Frédéric Véroul,Dalle Frederi,,66,DNC,50,47,31,38,,232,43
SUI,8079,Lorenz Nydegger,Martin Nydegger,,51,DNC,54,48,46,35,,234,44
GER,8674,Rainer Kremkow,Petra Beier,,64,43,52,41,55,43,,234,45
GER,8662,Jan Stölken,Matthias Brühl,,44,31,DNC,DNC,42,20,,237,46
GER,8621,Dirk Filiminov,Lars Stöckmann,,16,7,20,DNC,DNC,DNC,,243,47
GER,8519,Robert Wisolek,Christian Schuster,,35,39,DND,28,53,42,,244,48
FRA,7941,Véronique Dousselin,Jean-Pierre Peter,,74,DNC,59,43,36,32,,244,49
SUI,8196,Florent Chapatte,Marc Froidevaux,,65,34,60,DNC,48,39,,246,50
SUI,8544,Christoph Renker,Weinli Beat,,36,35,35,42,DNC,DNC,,248,51
FRA,8348,Jacques Bochu,Christophe Bochu,,61,48,47,35,64,DNC,,255,52
DEN,8566,Olivier Thiberge,Guerennec He,,72,44,DNC,49,50,44,,259,53
FRA,8008,Marc Dousselin,Alain Beltzung,,23,DNC,49,38,60,DNC,,270,54
GER,8517,Felix Ismar,Arnd Howar,,DNC,37,48,44,43,DNC,,272,55
FRA,8372,Gilbert Vinches,Maxime Legoff,,DNS,DNC,27,DNC,21,26,,274,56
FRA,8687,Francois Fischer,Jerom Delvaux,,24,DNC,30,DNC,25,DNC,,279,57
FRA,8541,Francis Doerenbecher,Doerenbe,,38,14,DNC,DNC,34,DNC,,286,58
GER,8259,Uwe Knop,Ricarda Wolf,,41,DNC,29,DNC,24,DNC,,294,59
FRA,8321,Michel Rimbert,Antoine Rimbert,,58,DNC,55,46,39,DNC,,298,60
GER,8376,Volker Niediek,Stefan Heising,,34,DNC,43,24,DNC,DNC,,301,61
GER,8686,Nicolai Völckner,Delne Lars,,59,DNC,36,DNC,35,DNC,,330,62
SUI,8003,Christian Mösli,Alex Wyss,,DNC,DNC,61,40,DNC,40,,341,63
GBR,8678,Jim Berry,Martin Wedge,,52,DNC,42,DNC,54,DNC,,348,64
FRA,8521,Jean-Philippe Chartier,Matthieu Guibbal,,56,DNC,DNC,DNC,57,37,,350,65
FRA,8002,Dominique Rouanne,Jean-Pierre Blache,,70,DNC,DNC,DNC,58,36,,364,66
GER,8546,Dirk Hänsgen,Frank Rupprich,,60,DNC,45,DNC,59,DNC,,364,67
GER,8664,Carsten Hammer,Andrea Schmidt,,48,17,DNC,DNC,DNC,DNC,,365,68
GER,8424,Peter Gerdts,Karsten Lahrs,,69,47,51,DNC,DNC,DNC,,367,69
GER,8633,Frieder Achterberg,Wolfgang Stückl,,40,DNC,DNC,DNC,29,DNC,,369,70
FRA,7931,Jean-Baptiste Dupont,Jean-Claude Ancelot,,83,DNC,DNC,DNC,56,45,,384,71
GER,8473,Oliver Kraft,Andreas Göggel,,71,DNC,62,DNC,52,DNC,,385,72
GER,8691,Günter Bökle,Frank Heimburger,,67,DNC,58,DNC,66,DNC,,391,73
GER,8373,Siegfried Labenz,Christian Labenz,,DNC,DNC,57,DNC,37,DNC,,394,74
FRA,8090,Loïc Bleuez,Michel Bonnet,,53,DNC,DNC,50,DNC,DNC,,403,75
GBR,8635,Nicholson Steven,Simon Lake,,7,DNC,DNC,DNC,DNC,DNC,,407,76
FRA,8188,Phillipe le Norment,Suzanne Salaün,,63,46,DNC,DNC,DNC,DNC,,409,77
GER,8599,Maik Kaiser,Dirk Kaiser,,55,DNC,DNC,DNC,61,DNC,,416,78
FRA,8484,Eric Schaedelin,Philippe Blanchard,,68,50,DNC,DNC,DNC,DNC,,418,79
SUI,8612,Martins Bohrens,Marti Bohrens,,22,DNC,DNC,DNC,DNC,DNC,,422,80
SUI,8441,Urs Oldani,Adrian Iten,,57,DNC,DNC,DNC,65,DNC,,422,81
FRA,7940,Guy de Restrepo,Eric de Restrepo,,80,49,DNC,DNC,DNC,DNC,,429,82
SUI,8374,Pawel Studler,Anatol Studler,,79,DNC,DNC,DNC,51,DNC,,430,83
FRA,8401,Philippe Duquesne,Laurent Duquesne,,75,DNC,DNC,DNC,63,DNC,,438,84
GER,7778,Dirk Frank,Stefan Kempf,,78,DNC,DNC,DNC,62,DNC,,440,85
FRA,8353,Robert Fossard,Jacques Cavalie,,49,DNC,DNC,DNC,DNC,DNC,,449,86
FRA,7888,De Mouillac Benoit,Scolan Yve,,DNC,DNC,63,DNC,DNC,DNC,,463,87
FRA,8007,Yann Brotschi,Xavier Brotschi,,DNC,DNC,64,DNC,DNC,DNC,,464,88
FRA,8037,Jean-Pierre le Roux,Kohler Je,,DNC,DNC,DNC,DNC,67,DNC,,467,89
GER,8414,Stefan Worm,Mathias Kaiser,,73,DNC,DNC,DNC,DNC,DNC,,473,90
GER,8582,Detlef Ihmels,Barbara Wand,,81,DNC,DNC,DNC,DNC,DNC,,481,91
FRA,8363,Jérôme Bourgoin,Lefebvre Chri,,82,DNC,DNC,DNC,DNC,DNC,,482,92
FRA,7999,Marc Riot,Hamelin Antoine,,DNC,DNC,DNC,DNC,DNC,DNC,,500,TDA
FRA,8157,Bernard Dugrip,Dalle Dugrip L,,DNC,DNC,DNC,DNC,DNC,DNC,,500,TDA
FRA,8337,Michel Vanderstraeten,Michel Lavielle,,DNC,DNC,DNC,DNC,DNC,DNC,,500,TDA
SUI,8492,Hans-Jörg Spiess,Hanspet Stutz,,DNC,DNC,DNC,DNC,DNC,DNC,,500,TDA
FRA,8301,Bernard Blondy,Roger Chabaud,,DNC,DNC,DNC,DNC,DNC,DNC,,500,TDA
FRA,8031,Devanneaux Olivier,Laine Arme,,DNC,DNC,DNC,DNC,DNC,DNC,,500,TDA
FRA,8436,Gilles Carvallo,Clair Carvallo,,DNC,DNC,DNC,DNC,DNC,DNC,,500,TDA
