Nation,Boat NO,Helm,Crew,Club,Race 1,Points,Place
GBR,7227,Mike Brooks,Tim Brooks,,,312,85
GBR,7311,G. Wells,R. Cook,,,316,86
GBR,6851,Julian Hereward,S. Langley,,,316,87
GBR,7600,Les Everitt,A. Ashe,,,318,88
GBR,6879,R. Flack,D. Jarvis,,,320,89
GBR,5870,Alan Vanner,Martin Vanner,,,321,90
GBR,7368,R. Watts,A. Thorpe,,,324,91
GBR,6703,M. Holt,C. Chipperfield,,,331,92
GBR,6889,N. Manning,H. Hakey,,,334,93
GBR,7308,P. Northeast,S. Faire,,,341,94
GBR,6596,D. Jones,L. Jones,,,344,95
IRL,7440,Denis O'Sullivan,,,,345,96
GBR,6087,S. Rogers,K. Rogers,,,345,97
GBR,6957,P. Nichols,P. Doe,,,347,98
GBR,7328,Chris Thorne,Clive Hardy,,,348,99
GBR,7619,D. Davis,G. Cadmore,,,355,100
GBR,6645,C. Murrell,C. White,,,355,101
GBR,7369,John Button,John Pipe,,,367,102
GBR,7239,James Green,Richard Allen,,,370,103
GBR,6107,Dave Bell,Peter Ward,,,370,104
GBR,7497,Neil Thomas,,,,374,105
GBR,7474,Robin Moss,J. Wood,,,376,106
