Sail,no.,Skipper,Crew,,St. Raphael,Riva del Garda,KiWo,EC-Sopot,PL Pts. Tot,Place
GER,8686,Niefert Christian,Weber Thomas,,146,146,20,23,189,35
GER,8666,Peters Gunter,Achenbach Steffen,,146,146,26,18,190,36
GER,8825,Troch Michael,Konig Eckart,,24,146,146,26,196,37
GER,8609,Holzapfel Alexander,Worm Stephan,,27,25,29,146,198,38
GER,8563,Schmidt Stefan,Mütze Tim,,146,146,36,32,214,39
GBR,8925,Wedge Martin,Allen Scott,,31,146,146,39,216,40
GER,8672,Contag Carsten,Von Walter Guido,,33,38,146,146,217,41
GER,8788,Lahrs Karsten,Gerdts Peter,,34,146,37,146,217,42
GER,8642,Greger Thoralf,Klein Christoph,,45,27,146,146,218,43
GER,8775,Engel Karsten,Neumeyer Tobias,,51,146,146,22,219,44
SUI,8079,Nydegger Lorenz,Nydegger Martin,,37,37,146,146,220,45
FRA,8402,Bleuez Loic,Roucayrol Frederic,,35,44,146,146,225,46
GER,8654,Jaegersberg Nicolas,Hiltsher Wolgang,,39,42,146,146,227,47
GBR,8885,Iliffe Ben,Lake Simon,,58,26,146,146,230,48
GER,8744,Kandzia Lutz,Deutscher Martin,,146,39,45,146,230,49
GER,8579,Rentelman Hans Jurgen,Warckerbauer Peter,,54,36,146,146,236,50
FRA,8742,Noclain Philippe,Noclain Jean Pierre,,41,146,49,146,236,51
FRA,8752,Guillou Nicolas,Got Guillaume,,55,146,38,146,239,52
GER,8720,Tasche Lennart,Tasche Frederik,,48,146,48,146,242,53
FRA,8820,Lehmann Robert,Edel Bernard,,63,46,146,146,255,54
DEN,8923,Bojsen-Møller Jakob,Bojsen-Møller Jørgen,,146,146,146,1,293,55
GER,8651,Lehmann Claas,Schöler Martin,,146,146,2,146,294,56
GER,8806,Stengel Lutz,Wehden Daniel,,146,146,146,6,298,57
GER,8901,Soellner Sophie,Stueckl Wolfgang,,7,146,146,146,299,58
AUS,8920,Quirk Michael,Holden Pete,,146,146,146,9,301,59
FRA,8900,Gubri Serge,Di Pede Thibault,,9,146,146,146,301,60
GBR,8835,Walters Charlie,Cram Dougal,,146,146,146,10,302,61
USA,8919,Gosch Tom,Mc Keige Doug,,146,146,10,146,302,62
DEN,8849,Larsen Per,Andersen Henrik,,146,17,146,146,309,63
FRA,2,Gallo Pierre Jean,Toupet Fabrice,,17,146,146,146,309,64
GER,8915,Plattner Hasso,Alarie Peter,,146,146,18,146,310,65
FRA,8705,Dupont Jean Baptiste,Legeai Jerome,,18,146,146,146,310,66
GER,8669,Böger Tim,Schöner Markus,,146,146,19,146,311,67
GBR,8887,Williams Richard,Davies John,,146,20,146,146,312,68
BEL,8773,Van Loer Pieter,Froidmont Eric,,20,146,146,146,312,69
GBR,8935,Short Russell,Short Andrew,,146,146,146,21,313,70
GER,8928,Schultz Hendrik,Portelance Etienne,,21,146,146,146,313,71
GBR,8905,Turnbull Stuart,Lunn Jason,,146,22,146,146,314,72
FRA,8870,Sylvestre Christian,Vallaud Christian,,22,146,146,146,314,73
GER,8625,Cross Alex,Braun Falko,,146,146,23,146,315,74
GBR,8745,Pearson Chris,Von Grey Paul,,146,23,146,146,315,75
FRA,8270,Gachet Claude,Valery Kleber,,23,146,146,146,315,76
GER,8747,Kittsteiner Martin,Stieglitz Dr. Oliver,,146,146,24,146,316,77
GBR,8906,Briddon Harry,Briddon Simon,,146,24,146,146,316,78
GER,8772,Roos Ronald,Roos Kirsten,,25,146,146,146,317,79
SUI,8569,Betschen René,Ducommun Patrick,,26,146,146,146,318,80
GER,8725,Maisenbacher Markus,Kruse Lars,,146,146,27,146,319,81
FIN,8632,Hamström Jari,Laurila Tuomas,,146,146,146,28,320,82
GER,8751,Weigelt Frank,Stenger Angela,,146,28,146,146,320,83
LUX,8934,Kieffer Pierre,Tousch Jean Paul,,28,146,146,146,320,84
GER,8621,Schweiger Stephan,Koch Thorsten,,146,29,146,146,321,85
FRA,8541,Doerenbecher Francis,Gastaud Jean Philippe,,29,146,146,146,321,86
GER,8665,Schlomka Fritz,Urs Wihlfahrt,,146,146,30,146,322,87
GBR,8474,Thorne Chris,Priddle Mike,,146,30,146,146,322,88
FRA,7941,Brenet Veronique,Peter Jean-Pierre,,30,146,146,146,322,89
FIN,8320,Hyysalo Sampsa,Salonen Antti,,146,146,146,31,323,90
GER,8599,Duwe Florian,Keding Markus,,146,146,33,146,325,91
DEN,8656,Buhl Henrik,S. Andersen Morten,,146,33,146,146,325,92
GER,8522,Wieting Thomas,Lehning Hannes,,146,146,34,146,326,93
GER,8519,Wisolek Robert,Farmer Dave,,146,34,146,146,326,94
FIN,8746,Raita Raimo,Nurmela Juha,,146,146,146,35,327,95
DEN,8440,Christiansen Mikkel,Christiansen Mads,,146,146,35,146,327,96
GER,8550,Hauschild Martha,Heyder Michael,,146,146,146,36,328,97
FRA,8400,Faucheux Florian,Faucheux Cedric,,36,146,146,146,328,98
FIN,8768,Nieminen Jukka,Hyvärinen Jukka,,146,146,146,37,329,99
FRA,8676,Buffet Marcel,Blanchard Philippe,,38,146,146,146,330,100
BEL,8734,De Pauw Geert,Kowal Olivier,,146,146,146,40,332,101
GER,8758,Meier-Kothe Christian,Raschdorf Ole,,146,146,40,146,332,102
GER,7661,Hoell Tina,Wilhelm Alexander,,146,40,146,146,332,103
GER,8327,Frank Dirk,Kempf Stephan,,40,146,146,146,332,104
GER,8533,Bussenius Roger,Bussenius Robert,,146,146,146,41,333,105
SWE,8475,Frisch Philipp,Berggren Katharina,,146,146,41,146,333,106
GER,8607,Paulsen Antje,Schaar Bjoern,,146,146,146,42,334,107
FRA,8748,Jeanne Muriel,Carvallo Gilles,,42,146,146,146,334,108
GER,8433,Anton Jürgen,Denecke Ulf,,146,146,43,146,335,109
SWE,8837,Lawner Tord,Wangdahl Douglas,,146,146,146,44,336,110
FRA,8847,Boiry Michel,Gougeon Matthieu,,44,146,146,146,336,111
POL,8416,Zagórski Przemek,Juckiewicz Piotr,,146,146,146,45,337,112
GBR,8435,Mcgale Patrick,Cull Alex,,146,45,146,146,337,113
POL,8358,Józefowski Marcin,Barankiewicz Jacek,,146,146,146,46,338,114
GER,8450,Feuerhake Jürgen,Nehrenberg Anne,,146,146,46,146,338,115
FRA,8896,Martenot Christian,Lafortune Julien,,46,146,146,146,338,116
FIN,8582,Kienanen Anssi,Kauppinen Kaarle,,146,146,146,47,339,117
GER,8418,Sell Jan,Gewinn Wiebke,,146,146,47,146,339,118
GER,8697,Stuis Wilfried W.,Lasnier Benjamin,,146,47,146,146,339,119
SUI,8077,Houriet Catherine,Donze Gilles,,47,146,146,146,339,120
POL,7539,Zoltowska Toska,Zoltowski Piotr,,146,146,146,49,341,121
GER,8712,Labenz Siegfried,Labenz Christian,,49,146,146,146,341,122
GER,8634,Frydrychowicz Tomek,Haaland Gerrit,,146,146,146,50,342,123
GER,7861,Ries Henning,Menge Katharina,,146,146,50,146,342,124
GER,8571,Brodersen Thomas,Herrmann Roland,,146,146,51,146,343,125
GER,7732,Feldmann Iris,Tanner Julia,,146,146,52,146,344,126
FRA,8895,Devaux Mathieu,Dubuc Philippe,,52,146,146,146,344,127
GER,8608,Rasenack Bernd,Oetken Axel,,146,146,53,146,345,128
FRA,8761,Riot Marc,Riot Geoffroy,,56,146,146,146,348,129
FRA,8521,Guibbal Pierre,Guibbal Mathieu,,57,146,146,146,349,130
GER,8530,Von Mertens Alexander,Wiesbauer Pia,,59,146,146,146,351,131
GER,8082,Markt Philippe,Markt Delphine,,60,146,146,146,352,132
GER,8388,Wolffram Peter,Ottenschlager Stephan,,62,146,146,146,354,133
FRA,8508,Plouviet Aurelie,Jungmann Jean-Marc,,64,146,146,146,356,134
FRA,8567,Coulmin Pierre Jerome,Peter Vincent,,65,146,146,146,357,135
FRA,8623,Daugey Gerard,Rouanne Dominique,,66,146,146,146,358,136
GER,8674,Bohnenberger Pedro,Pieper Tortsen,,67,146,146,146,359,137
FRA,8565,Ferec Alain,Guillot Eric,,68,146,146,146,360,138
GER,7978,Wahler Alexandra,Kramer Michael,,69,146,146,146,361,139
FRA,7929,Hermieu Jean Philippe,Bergreen Jessy,,70,146,146,146,362,140
FRA,4664,David Denis,Dubruel Denis,,71,146,146,146,363,141
FRA,8353,Verplanken Eric,Gresle Thierry,,72,146,146,146,364,142
FRA,8301,Blaison Benoit,Pilleron Florian,,73,146,146,146,365,143
FRA,8459,Banahan Lawrence,Fassio Thierry,,74,146,146,146,366,144
FRA,6067,Molinier Bertrand,Surbier Adrien,,75,146,146,146,367,145
