Country,Sail NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Place
SWE,4720,Thomas Rudewald,Thomas Lundberg,,36,48,50,57,50,52,329,266,58
SUI,4093,Huller,Wisher,,53,52,39,77,25,69,351,268,59
SWE,4178,Ray Larsson,Bengt Magnusson,,23,76,59,51,54,61,360,278,60
GBR,4750,Plaits,White,,62,16,71,77,23,84,369,279,61
GBR,4669,Leslie Everitt,,,50,35,63,56,58,75,373,292,62
GBR,4572,Donaldson,,,60,55,70,48,49,58,376,300,63
GBR,4050,Don Bowles,Pyecroft,,65,51,77,52,59,46,386,303,64
GER,4729,André Zander,Muth,,51,60,57,49,64,62,379,309,65
FRA,4440,Léopold Leger,Robert Leibovitch,,85,76,74,44,46,47,408,317,66
SUI,4357,Nordeide,Nordeide,,69,59,40,61,69,63,397,322,67
SUI,4449,Reymond,Frei,,61,76,51,77,56,51,408,325,68
SUI,4011,C.J. Fogelholm,H. Lampenius,,56,53,72,64,66,57,404,326,69
GBR,4467,Quellmalz,Stahl,,71,56,73,47,65,59,407,326,70
GER,3032,Bower,,,68,62,41,65,62,70,404,328,70
GBR,4369,Crocker,Woodhead,,28,76,77,62,72,65,416,333,72
GER,4123,Luder,Wolfgang Pollex,,70,76,48,58,73,66,427,345,73
GBR,4772,Brown,Michael J.,,66,60,64,59,68,75,428,347,74
SUI,4285,Ickart,Himelsbagh,,72,64,68,66,70,78,454,370,75
GBR,3788,Farman,Morton,,85,57,65,DSQ,67,68,464,372,76
GER,4320,Nedelko,Niel,,57,78,56,77,78,78,460,376,77
SWE,4718,Jörgen Ohlson,Hoglund,,DNS,DNS,DNS,DNS,DNS,78,504,420,78
