Sail,NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Boat Nam,Total,Netto,Place
BEL,8613,Kim Van Assche,Lien Van Assche,LZF,44,39,[45],42DPI,31,27,37,,265,220,38
GER,9198,Lena Stückl,Johannes Tellen,DTYC,32,20,4,23,[73]DNC,73DNC,73DNC,,298,225,39
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS,46,41,34,42,47,30,[73]DSQ,,313,240,40
POL,9233,Tomek Brzozowski,Paweł Choroba,KŻ HORN KRAKÓW,39,46,[73]DNF,49,38,34,34,,313,240,41
FRA,8869,Etienne Boyer,Emmanuel Boyer,CPELLE,35,33,[73]DNF,56DPI,46,46,30,,319,246,42
FRA,8614,Thibault Morel,Matthieu Morel,CVJUL,[52],45,47,48,34,47,26,,299,247,43
FRA,9045,Nicolas Guillou,Alban Viaud,76025,33,51,27,[57],43,49,49,,309,252,44
FRA,9150,Valentin Dechauffour,Pierre Gendry,CNLRT,50,27,32,[54],54,41,53,KE ATAO IV / PULSAR,311,257,45
SUI,9060,Catherine Houriet,Gil Donzé,CRG,[53],42,42,44,51,36,42,patience,310,257,46
SUI,8961,Toni Utiger,Markus Heilig,CVE,30,43,33,58,45,[60],52,noname,321,261,47
FRA,9019,Véronique Brenet,Jean-Pierre Peter,ACADL,49,[73]RET,53,38,41,38,50,,342,269,48
FRA,9031,Philippe Lucienne,Vivien Lucienne,60007,[70],50,41,40,42,52,48,,343,273,49
BEL,9121,Paul Gorremans,Marie-Pierre Gorremans,NLM,38,53,[59],52,40,59,40,,341,282,50
GBR,9261,Martin Wedge,John Ironmonger,Carmaux,42,56,[73]DNF,50,32,57,46,Eric,356,283,51
FRA,9076,Serge Gubri,Nicolas Auberger,77012,43,36,49,48DPI,48,[65],61,,350,285,52
FRA,8895,Nicolas Michel,Laurent Michel,CVAN,51,55,44,[65],56,40,41,,352,287,53
BEL,9163,Pierre Gorremans,Jean-Emmanuel Gorremans,NLM,[60],59,50,39,50,45,45,,348,288,54
AUS,9225,Earle Alexander,Christian Justesen,Darling Point SS,55,44,30,45,60,56,[73]DNC,Earle Grey,363,290,55
BEL,8949,Cédric Crets,Lionel Lambert,RCNV,47,47,54,[59],52,50,44,,353,294,56
FRA,9164,Jacques Dechauffour,Sabine Dechauffour,ASNQ,48,65,[73]DNF,32,55,42,55,,370,297,57
FRA,9086,Eric Quemard,Antoine Victor,YCIDF,58,52,52,34,[64],58,51,Air Force One,369,305,58
FRA,9068,François de Lisle,Marc Desjuzeurs,33011,57,49,48,[61],53,48,54,,370,309,59
FRA,9033,Matthieu Devaux,Philippe Dubuc,SRFEC,59,54,51,[63],57,43,56,,383,320,60
FRA,8904,Marion Michel,Anaïs Dechauffour,CVANA,54,[73]DNF,55,56,58,54,62,,412,339,61
FRA,9175,Francois Caminade,Emmanuel Binder,YCGC,56,57,62,62,[63],62,58,Tchatabic,420,357,62
FRA,8484,Philippe Blanchard,Bernard Edel,ACADL,62,[73]DNF,73DNF,53,61,51,60,,433,360,63
FRA,7941,Yves Chene Pierre,Julien Chazet,CNRLO,63,60,57,60,66,[67],59,Glaz Vanille,432,365,64
FRA,8427,Marin Michel,Robin Michel,LARMO,[68],62,61,66,62,61,63,Mich Mich,443,375,65
FRA,6313,Denis Morel,Grégoire Morel,CVJUL,65,58,58,[67],65,63,67,,443,376,66
GBR,8511,James Polston,Riki Aydeniz,Stone sailing club,64,[73]DNS,73DNF,64,59,64,57,,454,381,67
FRA,8401,Alain Renoux,Didier Soulie,vlg,67,61,60,68,[69],68,66,,459,390,68
GBR,8867,Patrick Mcgale,Chris Pearson,queen mary sailing club,69,63,56,[73]DNC,68,66,73DNC,,468,395,69
FRA,6126,Alexandre Levet,Benjamin Brule,PNVBL,66,64,63,[73]DNF,67,73NSC,65,Down Payment Blues,471,398,70
FRA,321,Thierry Trompette,Tanguy Trompette,SN Larmor Plage,71,66,64,[73]DNF,70,69,64,acajou,477,404,71
FRA,9188,Jean-Francois Dervieux,Frédérique Dervieux,CVJUL,[73]DNF,73RET,73DNF,73DNF,73DNF,70,68,,503,430,72
