,505 World Championship,,,club,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,Total,Drop,After,Place
AUS,7407,S. Schloss,James Hart,,93,76,88,82.5,63,87,103,592.5,103,489.5,86
AUS,8045,P. Osmond,Michael Hunt,,74,103,89,86,103,85,82,622,103,519,87
GBR,8525,Victor Stopp,J. Prakson,,95,92,91,91,87,81.5,77,614.5,95,519.5,88
AUS,8273,Jim Sanderson,Richard Gorrell,,88,87,96,92,83,90,103,639,103,536,89
FRA,8436,Gilles Carvallo,P. Lenorment,,90,89,90,89,88,95,90,631,95,536,90
AUS,845,J. Hayley,J. McLean,,97,90,94,88,90,91,88,638,97,541,91
AUS,8578,M. Holden,Geoff Holden,,91,95,92,95,86,89,92,640,95,545,92
GBR,8435,Patrick McGale,A. Nolan,,95.5,93,93,93,89,92,91,646.5,95.5,551,93
AUS,6376,S. Vincent,Peter Vincent,,99,96,97,96,91,94,89,662,99,563,94
AUS,7284,J. Feurerhacke,M. Falk,,99,97,95,94,103,103,103,694,103,591,95
HKG,7234,Diamond Tai,T. Pun,,103,103,103,103,103,103,87,705,103,602,96
