Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
FRA,8716,Aline Martin,Matthieu Gougeon,,7,24,30,6,29,26,30,33*,152,22
FRA,8870,Christian Silvestre,Christian Vallaud,,13,33,14,21,15,37*,32,24,152,23
FRA,0,Bressot-Caroline Perrin,Jean Gallo Pierre,,14,27,34,31,35*,6,13,34,159,24
FRA,0,Patrick Perrault,Francois Cornu,,47*,39,5,37,13,30,16,31,171,25
FRA,0,Nedeleg Bigi,Trystan Robin,,56*,36,33,24,25,24,24,9,175,26
FRA,0,Gabriel le Duc,Cyril Thibaud,,35,26,11,41*,34,32,21,16,175,27
FRA,0,François de Lisle,Herve Brillaud,,15,32,22,29,20,46*,14,43,175,28
GBR,0,Tim Scarisbrick,Michael Male,,39,41,31,9,14,21,33,63 DNF*,188,29
FRA,0,Claude Lafortune,Adrien Lafortune,,18,19,40,26,41*,18,36,37,194,30
FRA,8948,Nicolas Guillou,Guillaume Got,,34,15,23,46,63 DNC*,28,25,25,196,31
FRA,0,Etienne Boyer,Emmanuel Boyer,,20,8,17,12,17,63 DNC*,63 DNC,63 DNC,200,32
FRA,0,Philippe Wolff,Francis Doerenbecher,,21,29,39,42*,33,31,12,35,200,33
FRA,8949,Philippe Duquesne,Laurent Duquesne,,17,37,27,28,44*,39,31,27,206,34
FRA,0,Pierre Muh,Dominique Keraudren,,42,43*,38,25,21,25,42,19,212,35
FRA,0,Christian Martenot,Alexandre Sabatier,,41,35,48*,30,36,29,37,21,229,36
GBR,8749,Alastair Milton,Laurence Milton,,32,31,15,10,37,52,63 DNF*,63 DNC,235,37
FRA,0,Alain Preel,Damien Trouillet,,49*,DPI,35,33,47,35,20,26,236,38
FRA,0,Frederic Veroul,Sebastien Huet,,54*,42,41,34,30,33,34,22,236,39
BEL,8486,Pascal Viaud,Frederic Campodarve,,36,40,26,38,38,27,53*,38,243,40
GBR,8955,Christopher Dando,Simon Lake,,58*,30,49,19,39,34,41,40,252,41
FRA,0,Michel Boiry,Thomas Chartier,,27,38,44,55*,31,36,47,30,253,42
FRA,0,Thierry Daguzan,Arnaud Poirier,,22,DPI,46,35,49*,48,29,46,259,43
FRA,0,Pierre-Jerome Coulmin,Vincent Peter,,45,47*,24,53,43,47,40,42,288,44
FRA,0,Gilles Carvallo,Fabrice Castel,,37,34,DPI,56*,42,41,35,47,291,45
GBR,8907,Jim Berry,David Barnes,,33,52,47,43,50,54*,39,32,296,46
,0,Phil Vandersteen,Gennart Genevieve,,38,63 DNF*,37,45,52,43,54,44,313,47
FRA,8348,Mathieu Ingrand,Agnes Catrix Marie,,26,45,56,63 DNC*,63 DNC,38,45,45,318,48
FRA,0,Bernard Blondy,Pierre Noclain Jean,,59,48,63 DNS*,50,28,50,46,41,322,49
,0,Graham Mc Curbin,Robin Baton,,48,49,50*,48,45,45,38,50,323,50
FRA,0,Loic Blanken,Xavoer Leclercq,,61*,51,42,40,54,51,50,49,337,51
FRA,0,Laurent Bernadac,Julien Fernandez,,46,50,63 DNC*,63 DNC,63 DNC,40,44,36,341,52
FRA,0,Philippe Veron,Fabien Pascal,,40,58*,52,44,56,53,48,51,344,53
,0,Jones Brian,Frost Gary,,51,54,45,36,48,63 DNC*,63 DNC,63 DNC,360,54
FRA,0,Bernard Peiffert,Elisabeth Peiffert,,57,56,54,49,51,49,49,63 DNC*,365,55
FRA,0,Bertrand Lapeyre,Antoine Chiquet,,55,63 DSQ*,57,54,DPI,55,51,48,372,56
FRA,0,Eric Quemard,Jerome Legeai,,52,53,53,51,46,63 DNF*,63 DNC,63 DNC,378,57
FRA,0,Philippe Ducros Jean,Thierry Gougeon,,53,DPI,51,57,55,56,52,63 DNF*,378,58
FRA,0,Dominique Rouanne,Virginie Laurent,,60,57,63 DNC*,63 DNC,53,42,63 DNF,63 DNC,395,59
FRA,0,Arthur Michaut,Christophe Michaut,,62,59,55,52,57,63 DNF*,63 DNC,63 DNC,408,60
FRA,0,Robert Lehmann,Bernard Edel,,50,44,63 DNC*,63 DNC,63 DNC,63 DNC,63 DNC,63 DNC,409,61
FRA,0,Daniel Nouraud,Xavier Lacombe,,44,DPI,63 DNS*,63 DNC,63 DNC,57,63 DNF,63 DNC,410,62
