Sail,-,Helm,Crew ,,Race,Race,Race,Race,Race,,1,2,3,4,5,Tally,,Total,Result
GBR,8708,Martin Wedge,Gordon Russell,,DNF,35,30,35,DNF,,68,41,36,41,68,37,,186,42
RSA,8757,Harry Ellens,Ian Hogg,,44,47,38,39,DNF,,50,53,44,45,68,42,,192,43
USA,8593,Evert Meyer,Chris Hanke,,DNF,45,DNF,32,30,,68,51,68,38,36,68,,193,44
RSA,8537,Steve Hegerstrom,Alan Haylett,,30,37,42,DNF,DNC,,36,43,48,68,68,75,,195,45
GBR,8745,Chris Pearson,Frank Rainsborough,,46,44,48,40,DNF,,52,50,54,46,68,90,,202,46
GBR,8678,Jim Berry,Kevin O'Connor,,42,40,47,DNC,DNC,,48,46,53,68,68,35,,215,47
KEN,8261,John Wyles,Justin Bird,,43,46,41,DNC,DNC,,49,52,47,68,68,86,,216,48
GBR,8474,Chris Thorne,Kartsen Lahrs,,45,43,45,DNF,DNC,,51,49,51,68,68,34,,219,49
GER,8642,Stefan Schollmayer,Frisco Saguino,,DNF,39,36,DNC,DNC,,68,45,42,68,68,79,,223,50
RSA,7722,Wouter Langhout,Charles Crosby,,47,49,46,DNF,DNC,,53,55,52,68,68,72,,228,51
GER,8658,Christian Schäfer,Laetsch Uwe,,28,DNF,DNC,DNC,DNC,,34,68,68,68,68,89,,238,52
USA,6227,Grant Murray,Ian West-Lewis,,DNF,52,50,DNC,DNC,,68,58,56,68,68,70,,250,53
RSA,8121,Albrecht Holm,Ferdinand Holm,,48,DNC,DNC,DNC,DNC,,54,68,68,68,68,44,,258,54
RSA,7457,Phillip Bennett,Mark Abbotts,,49,DNF,DNC,DNC,DNC,,55,68,68,68,68,74,,259,55
RSA,4437,Grant Ballantyne,Sean Ballantyne,,DNF,51,DNC,DNC,DNC,,68,57,68,68,68,48,,261,56
RSA,7290,Derek Nortjie,Peter Roos,,DNC,DNC,DNC,DNC,DNC,,68,68,68,68,68,43,,272,57
RSA,7519,Rudolph Holm,Richard Shearer,,DNC,DNC,DNC,DNC,DNC,,68,68,68,68,68,45,,272,57
RSA,8537,Bob Crisp,Warren Buddenbrock,,DNC,DNC,DNC,DNC,DNC,,68,68,68,68,68,41,,272,57
RSA,8673,Anthony Murray,Barry Owen,,DNC,DNC,DNC,DNC,DNC,,68,68,68,68,68,47,,272,57
AUS,8740,Ian Burford,David Christie,,DNC,DNC,DNC,DNC,DNC,,68,68,68,68,68,55,,272,57
